time_s,ue_id,cpu_j,radio_j,total_j
13.1474,23,4.96288,6.4,11.3629
13.1827,11,8.22456,10.24,18.4646
13.3657,5,8.97088,11.52,20.4909
13.4733,7,13.2217,16.64,29.8617
13.507,10,4.89128,6.4,11.2913
13.5282,7,13.2217,16.64,29.8617
13.5831,7,14.2602,17.92,32.1802
13.685,19,11.8988,15.36,27.2588
13.76,6,5.84754,7.68,13.5275
13.8359,19,11.8988,15.36,27.2588
13.8407,7,14.2602,17.92,32.1802
13.9762,14,8.06753,10.24,18.3075
14.0747,23,6.02069,7.68,13.7007
14.2398,13,6.19783,7.68,13.8778
14.2488,7,14.2602,17.92,32.1802
14.3131,18,13.8709,17.92,31.7909
14.3191,16,9.00761,11.52,20.5276
14.4135,18,13.8709,17.92,31.7909
14.5752,21,14.741,19.2,33.941
14.732,14,10.1348,12.8,22.9348
14.9612,20,6.86554,8.96,15.8255
14.9669,5,10.0238,12.8,22.8238
15.0215,11,9.21886,11.52,20.7389
15.0234,23,7.0688,8.96,16.0288
15.1125,14,10.1348,12.8,22.9348
15.1151,18,14.8006,19.2,34.0006
15.2063,13,7.21073,8.96,16.1707
15.3737,15,8.16159,10.24,18.4016
15.419,10,6.93667,8.96,15.8967
15.6916,22,8.88698,11.52,20.407
15.8301,7,15.3299,19.2,34.5299
15.8491,10,6.93667,8.96,15.8967
16.1006,20,7.91221,10.24,18.1522
16.227,17,9.05153,11.52,20.5715
16.2309,15,10.0051,12.8,22.8051
16.248,13,8.27262,10.24,18.5126
16.5013,8,10.8873,14.08,24.9673
16.7511,15,10.0051,12.8,22.8051
16.779,19,12.8071,16.64,29.4471
17.1908,13,9.34062,11.52,20.8606
17.2021,14,11.1564,14.08,25.2364
17.2296,7,17.3442,21.76,39.1042
17.3183,7,17.3442,21.76,39.1042
17.6114,11,10.2302,12.8,23.0302
17.6561,24,7.07518,8.96,16.0352
17.7183,16,10.0614,12.8,22.8614
17.8366,6,6.90547,8.96,15.8655
17.8457,5,11.0474,14.08,25.1274
18.1203,21,15.6867,20.48,36.1667
18.1471,17,9.99194,12.8,22.7919
18.1712,10,7.87098,10.24,18.111
18.3027,19,13.9021,17.92,31.8221
18.3666,8,11.9475,15.36,27.3075
18.5412,23,8.11967,10.24,18.3597
18.727,9,10.8538,14.08,24.9338
18.8379,15,11.9959,15.36,27.3559
19.0185,15,11.9959,15.36,27.3559
19.0445,8,14.0154,17.92,31.9354
19.0759,12,5.02868,6.4,11.4287
19.0999,8,14.0154,17.92,31.9354
19.1355,24,8.01093,10.24,18.2509
19.2626,16,11.0712,14.08,25.1512
19.2892,12,5.02868,6.4,11.4287
19.4651,9,11.9359,15.36,27.2959
19.5478,14,13.1381,16.64,29.7781
19.5747,7,18.3094,23.04,41.3494
19.7512,14,13.1381,16.64,29.7781
19.8704,10,9.94069,12.8,22.7407
20.0219,21,16.5951,21.76,38.3551
20.0967,10,9.94069,12.8,22.7407
20.2815,23,10.0478,12.8,22.8478
20.4579,11,11.3043,14.08,25.3843
20.6109,14,14.1309,17.92,32.0509
20.7536,10,10.9178,14.08,24.9978
20.859,23,10.0478,12.8,22.8478
20.9804,15,12.9658,16.64,29.6058
21.0962,6,7.96284,10.24,18.2028
21.1073,17,10.9331,14.08,25.0131
21.2076,24,11.0881,14.08,25.1681
21.3339,24,11.0881,14.08,25.1681
21.3647,16,11.9962,15.36,27.3562
21.4391,24,11.0881,14.08,25.1681
21.4856,5,12.0619,15.36,27.4219
21.4907,13,10.3767,12.8,23.1767
21.7048,22,9.88253,12.8,22.6825
21.7353,11,13.2395,16.64,29.8795
21.8239,18,15.821,20.48,36.301
21.8439,19,14.9533,19.2,34.1533
21.8964,11,13.2395,16.64,29.8795
22.3589,21,18.5643,24.32,42.8843
22.4722,15,13.9304,17.92,31.8504
22.6104,6,9.03053,11.52,20.5505
22.669,21,18.5643,24.32,42.8843
22.6869,10,12.9298,16.64,29.5698
22.7276,14,16.0472,20.48,36.5272
22.7736,17,12.817,16.64,29.457
22.8482,17,12.817,16.64,29.457
22.858,7,19.2105,24.32,43.5305
22.8965,12,6.0975,7.68,13.7775
22.9835,13,12.3908,15.36,27.7508
23.0858,10,12.9298,16.64,29.5698
23.1326,16,12.9937,16.64,29.6337
23.323,14,17.0529,21.76,38.8129
23.4422,22,10.8652,14.08,24.9452
23.593,13,12.3908,15.36,27.7508
23.6123,14,17.0529,21.76,38.8129
23.9516,5,13.1126,16.64,29.7526
24.0372,10,14.0089,17.92,31.9289
24.0533,6,9.95558,12.8,22.7556
24.1307,19,15.9663,20.48,36.4463
24.1508,15,15.0221,19.2,34.2221
24.3597,16,13.9853,17.92,31.9053
24.8635,15,16.9663,21.76,38.7263
24.8882,6,10.8637,14.08,24.9437
25.0692,7,20.1763,25.6,45.7763
25.1811,16,14.9276,19.2,34.1276
25.2863,18,17.8579,23.04,40.8979
25.3279,12,7.02874,8.96,15.9887
25.3529,5,14.1747,17.92,32.0947
25.4298,15,16.9663,21.76,38.7263
25.477,14,18.1113,23.04,41.1513
25.6312,18,17.8579,23.04,40.8979
25.6704,13,13.3514,16.64,29.9914
26.0089,7,21.2396,26.88,48.1196
26.1295,19,16.9411,21.76,38.7011
26.3751,15,18.0497,23.04,41.0897
26.4846,14,19.1597,24.32,43.4797
26.7354,16,15.9989,20.48,36.4789
27.207,24,12.0397,15.36,27.3997
27.3243,17,15.8225,20.48,36.3025
27.4456,14,20.0712,25.6,45.6712
27.5036,19,20.0674,25.6,45.6674
27.582,6,12.941,16.64,29.581
27.6574,17,16.8028,21.76,38.5628
27.8298,19,20.0674,25.6,45.6674
27.8433,19,20.0674,25.6,45.6674
27.9427,24,12.9811,16.64,29.6211
27.9718,20,8.81733,11.52,20.3373
28.0005,5,15.2571,19.2,34.4571
28.0029,17,16.8028,21.76,38.5628
28.0283,17,16.8028,21.76,38.5628
28.2097,6,14.974,19.2,34.174
28.2853,7,22.2296,28.16,50.3896
28.4077,6,14.974,19.2,34.174
28.613,6,14.974,19.2,34.174
28.6131,22,13.9322,17.92,31.8522
28.6584,24,14.9692,19.2,34.1692
28.9676,20,9.8738,12.8,22.6738
29.0024,15,19.0177,24.32,43.3377
29.0535,22,14.9694,19.2,34.1694
29.0746,24,14.9692,19.2,34.1692
29.1797,22,14.9694,19.2,34.1694
29.4935,16,16.9272,21.76,38.6872
29.5669,12,8.05949,10.24,18.2995
29.5701,17,18.8723,24.32,43.1923
29.672,20,11.827,15.36,27.187
29.7202,20,11.827,15.36,27.187
29.7207,22,14.9694,19.2,34.1694
29.8194,21,19.567,25.6,45.167
29.9332,23,11.066,14.08,25.146
29.996,9,14.0039,17.92,31.9239
30.0726,17,18.8723,24.32,43.1923
30.164,18,18.8726,24.32,43.1926
30.2806,9,15.052,19.2,34.252
30.4256,11,15.2253,19.2,34.4253
30.4802,11,15.2253,19.2,34.4253
30.5979,5,17.0881,21.76,38.8481
30.6224,20,12.9126,16.64,29.5526
30.6528,22,15.9475,20.48,36.4275
30.7369,9,16.1272,20.48,36.6072
30.8735,7,23.2355,29.44,52.6755
30.8779,12,10.0556,12.8,22.8556
30.8861,5,17.0881,21.76,38.8481
30.9268,6,15.9203,20.48,36.4003
31.0335,10,14.961,19.2,34.161
31.0647,12,10.0556,12.8,22.8556
31.1638,21,20.4944,26.88,47.3744
31.371,9,16.1272,20.48,36.6072
31.3932,23,12.1401,15.36,27.5001
31.5752,22,18.1332,23.04,41.1732
31.6699,6,16.9412,21.76,38.7012
31.762,5,18.0801,23.04,41.1201
31.841,19,21.0065,26.88,47.8865
32.0677,15,21.0562,26.88,47.9362
32.1606,22,19.1596,24.32,43.4796
32.3106,15,21.9654,28.16,50.1254
32.3384,23,13.0974,16.64,29.7374
32.5618,22,19.1596,24.32,43.4796
32.7162,15,24.0378,30.72,54.7578
32.7255,21,21.5222,28.16,49.6822
32.83,6,18.9836,24.32,43.3036
32.8824,24,15.9006,20.48,36.3806
32.9645,20,13.8225,17.92,31.7425
32.9751,9,17.1266,21.76,38.8866
33.0717,6,18.9836,24.32,43.3036
33.0786,15,25.0159,32,57.0159
33.1313,17,19.8793,25.6,45.4793
33.1493,15,25.0159,32,57.0159
33.282,14,22.1829,28.16,50.3429
33.3158,11,17.2114,21.76,38.9714
33.3175,11,17.2114,21.76,38.9714
33.3368,14,22.1829,28.16,50.3429
33.4713,15,25.0159,32,57.0159
33.7003,10,16.0138,20.48,36.4938
33.7038,5,19.0571,24.32,43.3771
33.7623,23,14.0909,17.92,32.0109
33.7675,24,17.8186,23.04,40.8586
33.798,20,15.8154,20.48,36.2954
33.8635,6,19.8941,25.6,45.4941
33.9972,21,22.5242,29.44,51.9642
34.0198,20,16.7731,21.76,38.5331
34.0319,24,17.8186,23.04,40.8586
34.1262,9,19.2262,24.32,43.5462
34.1681,13,14.3561,17.92,32.2761
34.1807,9,19.2262,24.32,43.5462
34.3489,5,19.9832,25.6,45.5832
34.4283,15,26.0326,33.28,59.3126
34.5647,7,24.181,30.72,54.901
34.6172,20,17.8382,23.04,40.8782
34.6935,8,16.0464,20.48,36.5264
34.8574,24,18.7238,24.32,43.0438
34.9304,18,19.9197,25.6,45.5197
34.983,11,18.1527,23.04,41.1927
35.1859,8,16.0464,20.48,36.5264
35.216,22,20.2013,25.6,45.8013
35.2721,20,18.833,24.32,43.153
35.2836,20,18.833,24.32,43.153
35.3177,16,17.9223,23.04,40.9623
35.4968,5,20.8849,26.88,47.7649
35.5487,12,11.1477,14.08,25.2277
35.913,22,21.1218,26.88,48.0018
35.9771,14,23.1754,29.44,52.6154
36.1497,18,22.9465,29.44,52.3865
36.2993,23,15.1528,19.2,34.3528
36.3085,9,20.207,25.6,45.807
36.4291,18,24.8149,32,56.8149
36.4777,15,27.0844,34.56,61.6444
36.617,18,24.8149,32,56.8149
36.6364,10,17.102,21.76,38.862
36.728,7,25.2759,32,57.2759
36.7641,14,24.21,30.72,54.93
36.7957,18,24.8149,32,56.8149
36.8043,11,19.2397,24.32,43.5597
36.8135,18,24.8149,32,56.8149
36.8657,6,20.9821,26.88,47.8621
37.0165,22,23.025,29.44,52.465
37.0615,24,19.6934,25.6,45.2934
37.0934,20,19.8088,25.6,45.4088
37.0948,22,23.025,29.44,52.465
37.1438,19,22.0174,28.16,50.1774
37.2913,12,12.1558,15.36,27.5158
37.3098,15,27.9955,35.84,63.8355
37.3532,21,24.5595,32,56.5595
37.3533,13,15.3711,19.2,34.5711
37.5853,17,22.7984,29.44,52.2384
