time_s,task_id,ue_id,latency_ms,offloaded
19.2626,11,16,673.232,0
19.2892,5,12,693.844,0
19.4651,12,9,721.366,0
19.5478,12,14,718.202,0
19.5747,18,7,643.467,0
19.7512,13,14,602.962,0
19.8704,9,10,661.293,0
20.0219,17,21,605.592,0
20.0967,10,10,718.515,0
20.2815,9,23,649.312,0
20.4579,11,11,716.08,0
20.6109,14,14,661.825,0
20.7536,11,10,651.405,0
20.859,10,23,636.088,0
20.9804,13,15,646.553,0
21.0962,8,6,704.912,0
21.1073,11,17,627.412,0
21.2076,9,24,681.246,0
21.3339,10,24,726.796,0
21.3647,12,16,616.684,0
21.4391,11,24,643.43,0
21.4856,12,5,676.36,0
21.4907,10,13,690.723,0
21.7048,10,22,663.699,0
21.7353,12,11,678.858,0
21.8239,16,18,680.25,0
21.8439,15,19,700.794,0
21.8964,13,11,611.27,0
22.3589,18,21,699.956,0
22.4722,14,15,643.111,0
22.6104,9,6,711.79,0
22.669,19,21,612.874,0
22.6869,12,10,611.692,0
22.7276,15,14,634.604,0
22.7736,12,17,603.8,0
22.8482,13,17,652.157,0
22.858,19,7,600.731,0
22.8965,6,12,712.548,0
22.9835,11,13,623.932,0
23.0858,13,10,729.648,0
23.1326,13,16,664.995,0
23.323,16,14,642.929,0
23.4422,11,22,655.083,0
23.593,12,13,718.797,0
23.6123,17,14,670.515,0
23.9516,13,5,700.465,0
24.0372,14,10,719.395,0
24.0533,10,6,616.703,0
24.1307,16,19,675.351,0
24.1508,15,15,727.807,0
24.3597,14,16,661.04,0
24.8635,16,15,634.798,0
24.8882,11,6,605.394,0
25.0692,20,7,643.819,0
25.1811,15,16,628.2,0
25.2863,17,18,721.986,0
25.3279,7,12,620.83,0
25.3529,14,5,708.095,0
25.4298,17,15,661.312,0
25.477,18,14,705.561,0
25.6312,18,18,635.945,0
25.6704,13,13,640.433,0
26.0089,21,7,708.902,0
26.1295,17,19,649.906,0
26.3751,18,15,722.263,0
26.4846,19,14,698.912,0
26.7354,16,16,714.187,0
27.207,12,24,634.392,0
27.3243,14,17,651.593,0
27.4456,20,14,607.665,0
27.5036,18,19,710.926,0
27.582,12,6,700.239,0
27.6574,15,17,640.518,0
27.8298,20,19,646.302,0
27.8433,19,19,726.927,0
27.9427,13,24,627.568,0
27.9718,9,20,603.411,0
28.0005,15,5,721.551,0
28.0029,17,17,653.543,0
28.0283,16,17,711.584,0
28.2097,13,6,684.614,0
28.2853,22,7,659.969,0
28.4077,14,6,667.24,0
28.613,15,6,688.143,0
28.6131,12,22,688.78,0
28.6584,14,24,630.781,0
28.9676,10,20,704.314,0
29.0024,19,15,645.326,0
29.0535,13,22,629.936,0
29.0746,15,24,694.662,0
29.1797,14,22,726.002,0
29.4935,17,16,618.886,0
29.5669,8,12,687.167,0
29.5701,18,17,690.178,0
29.672,11,20,696.801,0
29.7202,12,20,605.344,0
29.7207,15,22,691.412,0
29.8194,20,21,668.424,0
29.9332,11,23,678.806,0
29.996,13,9,711.953,0
30.0726,19,17,689.437,0
30.164,19,18,676.465,0
30.2806,14,9,666.713,0
30.4256,14,11,646.862,0
30.4802,15,11,677.016,0
30.5979,16,5,606.724,0
30.6224,13,20,723.727,0
30.6528,16,22,652.121,0
30.7369,15,9,698.738,0
30.8735,23,7,670.617,0
30.8779,9,12,687.541,0
30.8861,17,5,613.931,0
30.9268,16,6,630.837,0
31.0335,15,10,634.763,0
31.0647,10,12,643.194,0
31.1638,21,21,618.317,0
31.371,16,9,716.818,0
31.3932,12,23,716.065,0
31.5752,17,22,731.406,0
31.6699,17,6,680.63,0
31.762,18,5,661.364,0
31.841,21,19,626.071,0
32.0677,20,15,717.696,0
32.1606,18,22,725.693,0
32.3106,21,15,641.328,0
32.3384,13,23,638.225,0
32.5618,19,22,684.254,0
32.7162,22,15,606.084,0
32.7255,22,21,685.196,0
32.83,18,6,696.085,0
32.8824,16,24,620.892,0
32.9645,14,20,606.568,0
32.9751,17,9,666.242,0
33.0717,19,6,665.496,0
33.0786,23,15,685.326,0
33.1313,20,17,671.364,0
33.1493,24,15,696.294,0
33.282,21,14,683.875,0
33.3158,16,11,695.26,0
33.3175,17,11,628.834,0
33.3368,22,14,723.972,0
33.4713,25,15,652.094,0
33.7003,16,10,701.824,0
33.7038,19,5,651.306,0
33.7623,14,23,662.314,0
33.7675,17,24,602.871,0
33.798,15,20,726.92,0
33.8635,20,6,607.032,0
33.9972,23,21,667.955,0
34.0198,16,20,601.678,0
34.0319,18,24,675.791,0
34.1262,18,9,710.119,0
34.1681,14,13,669.789,0
34.1807,19,9,689.66,0
34.3489,20,5,617.416,0
34.4283,26,15,677.772,0
34.5647,24,7,630.323,0
34.6172,17,20,638.503,0
34.6935,15,8,710.471,0
34.8574,19,24,603.514,0
34.9304,20,18,698.036,0
34.983,18,11,627.485,0
35.1859,16,8,643.541,0
35.216,20,22,694.466,0
35.2721,18,20,710.08,0
35.2836,19,20,663.169,0
35.3177,18,16,663.399,0
35.4968,21,5,601.147,0
35.5487,11,12,728.075,0
35.913,21,22,613.705,0
35.9771,23,14,661.644,0
36.1497,21,18,713.18,0
36.2993,15,23,707.95,0
36.3085,20,9,653.825,0
36.4291,22,18,603.422,0
36.4777,27,15,701.184,0
36.617,23,18,701.261,0
36.6364,17,10,725.48,0
36.728,25,7,729.959,0
36.7641,24,14,689.774,0
36.7957,24,18,625.169,0
36.8043,19,11,724.673,0
36.8135,25,18,620.475,0
36.8657,21,6,725.306,0
37.0165,22,22,622.06,0
37.0615,20,24,646.36,0
37.0934,20,20,650.549,0
37.0948,23,22,646.717,0
37.1438,22,19,673.944,0
37.2913,12,12,672.078,0
37.3098,28,15,607.432,0
37.3532,24,21,664.05,0
37.3533,15,13,676.663,0
37.5853,21,17,609.804,0
37.6043,25,21,692.816,0
37.6574,22,5,685.478,0
37.6603,22,17,653.185,0
37.7949,23,17,683.092,0
38.0037,22,6,626.559,0
38.0465,26,7,677.99,0
38.0956,21,9,679.667,0
38.1166,26,18,654.437,0
38.2086,24,22,670.838,0
38.3163,23,5,687.038,0
38.3621,24,17,671.189,0
38.4279,24,5,603.801,0
38.4743,16,13,698.445,0
38.5137,20,11,689.189,0
38.5355,16,23,670.82,0
38.6239,21,11,603.923,0
38.699,23,19,707.008,0
38.7362,22,9,721.048,0
38.9165,29,15,658.766,0
38.9565,27,18,678.024,0
39.1876,28,18,654.015,0
39.4312,30,15,639.325,0
39.4518,31,15,628.174,0
39.6718,22,11,606.42,0
40.1174,19,16,722.59,0
40.1643,18,10,731.768,0
40.2713,21,20,659.261,0
40.3871,25,22,622.936,0
40.4552,32,15,648.967,0
40.796,26,21,671.126,0
40.8378,24,19,732.078,0
40.9185,25,14,697.334,0
41.0547,23,11,630.157,0
41.064,19,10,699.818,0
41.2368,33,15,651.171,0
41.5814,22,20,618.498,0
41.6814,20,10,688.277,0
41.7478,17,8,682.062,0
41.8037,27,7,717.205,0
41.8813,29,18,692.75,0
42.0411,23,20,720.746,0
42.0681,25,17,722.221,0
42.1539,25,5,603.887,0
42.2973,20,16,731.158,0
42.3035,26,22,614.648,0
42.3769,26,5,617.85,0
42.6595,17,13,684.289,0
42.6777,28,7,654.81,0
42.761,27,5,661.497,0
42.8546,18,13,650.83,0
42.9007,21,16,640.675,0
42.908,34,15,700.842,0
42.9675,25,19,693.649,0
42.9865,19,13,606.459,0
43.0988,21,24,678.923,0
43.1605,18,8,717.055,0
43.2952,26,17,715.218,0
43.3795,30,18,682.666,0
43.4329,26,19,687.06,0
43.5937,13,12,618.46,0
43.6367,31,18,622.485,0
43.8698,21,10,613.581,0
43.9167,14,12,619.184,0
44.0309,22,24,618.608,0
44.1345,23,24,679.682,0
44.3414,26,14,649.967,0
44.5362,35,15,714.918,0
44.6462,27,14,604.283,0
44.7096,27,21,625.705,0
44.7333,22,16,687.003,0
44.7928,28,5,690.579,0
44.8208,23,16,731.017,0
44.9517,20,13,658.126,0
44.9841,36,15,656.568,0
45.1261,21,13,656.93,0
45.2108,23,6,692.402,0
45.3042,24,24,685.271,0
45.3548,23,9,698.156,0
45.696,19,8,646.25,0
45.6989,24,6,638.998,0
45.8033,24,9,705.721,0
45.9002,25,24,604.317,0
46.0364,27,17,724.55,0
46.0832,22,13,621.86,0
46.1258,17,23,621.621,0
46.2131,28,17,706.081,0
46.2691,28,21,650.064,0
46.439,29,21,679.824,0
46.458,26,24,675.615,0
46.4592,29,7,644.46,0
46.4761,25,9,705.407,0
46.5183,24,16,620.141,0
46.8406,27,19,722.81,0
46.9988,25,6,656.796,0
47.029,22,10,651.117,0
47.0827,27,24,712.54,0
47.2444,26,6,650.482,0
47.4051,28,19,675.592,0
47.6271,30,21,601.241,0
47.8003,30,7,706.549,0
47.8042,28,24,639.016,0
47.9375,29,24,683.673,0
48.1803,28,14,604.181,0
48.2306,20,8,686.735,0
48.3951,29,17,602.029,0
48.5461,31,7,623.146,0
48.8823,21,8,664.014,0
49.0924,23,13,643.306,0
49.1535,27,22,695.499,0
49.2958,23,10,695.219,0
49.4135,22,8,601.095,0
49.5414,37,15,637.198,0
49.713,24,13,672.393,0
49.7613,30,24,712.443,0
49.8499,28,22,623.145,0
49.9174,24,20,663.035,0
49.9313,25,16,705.752,0
49.9719,25,20,606.487,0
50.2467,32,18,693.503,0
50.2695,25,13,614.741,0
50.475,29,5,629.001,0
50.59,31,24,661.707,0
50.6591,23,8,607.665,0
50.6719,27,6,662.083,0
50.8824,32,7,611.355,0
51.1249,33,18,653.406,0
51.245,34,18,644.745,0
51.2647,24,10,629.536,0
51.381,29,22,674.024,0
51.4034,26,16,639.208,0
51.4438,26,13,682.415,0
51.5068,26,20,635.225,0
51.5265,27,16,642.948,0
51.5755,28,6,678.143,0
51.7627,30,22,647.139,0
51.8072,27,13,715.525,0
51.8228,32,24,633.24,0
52.3043,26,9,692.237,0
52.3119,33,7,718.703,0
52.329,25,10,629.401,0
52.649,29,6,671.662,0
52.6888,33,24,617.168,0
52.755,29,14,722.854,0
52.8336,28,16,689.879,0
52.8395,26,10,619.245,0
52.974,31,22,676.73,0
53.0362,18,23,684.122,0
53.0433,15,12,708.584,0
53.0782,28,13,625.355,0
53.1703,29,16,661.296,0
53.1715,38,15,690.027,0
53.1974,16,12,704.434,0
53.2254,34,7,686.406,0
53.2374,35,7,601.13,0
53.3838,27,10,653.879,0
53.4503,29,19,732.617,0
53.643,30,6,718.528,0
53.6611,17,12,623.955,0
53.7189,27,20,602.411,0
53.9769,32,22,643.902,0
54.2004,18,12,727.298,0
54.2046,19,12,672.86,0
54.2457,30,14,720.812,0
54.6134,30,16,622.406,0
54.7938,35,18,642.772,0
54.8346,30,5,709.938,0
54.928,31,16,606.922,0
55.0075,30,17,623.966,0
55.0161,28,10,613.016,0
55.0281,27,9,656.519,0
55.0813,36,18,658.541,0
55.326,31,14,720.502,0
55.3485,29,13,634.201,0
55.4212,32,14,676.235,0
55.4436,31,17,646.193,0
55.4726,20,12,709.48,0
55.5257,32,17,621.583,0
55.5281,24,11,720.033,0
55.5374,30,13,668.424,0
55.7378,24,8,696.317,0
55.7571,33,22,666.111,0
55.7961,34,22,642.63,0
55.8531,33,17,687.639,0
56.1945,25,11,674.768,0
56.2026,37,18,731.538,0
56.3044,29,10,678.301,0
56.3188,36,7,637.452,0
56.3589,21,12,723.689,0
56.4292,26,11,621.583,0
56.4405,28,9,657.511,0
56.4702,25,8,653.308,0
56.5175,31,5,619.624,0
56.7668,29,9,620.506,0
56.7879,26,8,702.154,0
56.8892,35,22,657.111,0
56.9083,31,13,603.581,0
57.1649,32,13,723.962,0
57.342,30,19,683.809,0
57.3576,37,7,602.68,0
57.372,39,15,672.75,0
57.4712,33,13,645.075,0
57.486,38,7,612.977,0
57.6629,32,16,626.995,0
58.0847,34,16,622.899,0
58.128,33,16,732.974,0
58.1535,31,19,684.864,0
58.1723,36,22,680.588,0
58.175,34,13,662.593,0
58.1812,32,19,691.235,0
58.1852,27,8,624.591,0
58.1958,28,20,619.635,0
58.4527,33,14,665.167,0
58.4747,31,21,709.356,0
58.5551,32,5,639.666,0
58.7421,22,12,630.718,0
59.2295,38,18,708.125,0
59.2349,32,21,639.682,0
59.3998,33,19,732.488,0
59.4412,37,22,649.502,0
59.5383,30,9,646.313,0
59.6021,34,14,693.412,0
59.886,23,12,688.187,0
59.8898,31,9,689.852,0
60.0792,33,21,672.678,0
60.2113,35,16,630.246,0
60.2144,30,10,658.457,0
60.4705,27,11,643.059,0
60.5406,32,9,677.24,0
60.6595,33,5,668.922,0
60.7778,34,24,715.313,0
60.8818,28,8,665.265,0
61.0284,35,24,658.769,0
61.0546,39,18,691.278,0
61.2885,34,5,731.768,0
61.3566,28,11,692.743,0
61.3634,35,5,718.834,0
61.4447,34,21,620.686,0
61.4475,29,11,685.139,0
61.5054,31,10,622.906,0
