t,ue,rate_bps
0.8,4,2.13464e+07
0.8,5,7.43773e+06
0.8,6,2.09473e+07
0.8,7,5.44092e+07
0.8,8,1.31941e+08
0.8,9,456060
0.8,10,566052
0.8,11,5.08414e+06
0.8,12,274460
0.8,13,3.65432e+06
0.8,14,5.78573e+07
0.8,15,1.08476e+07
0.8,16,1.17817e+08
0.8,17,1.67592e+06
0.8,18,9.60155e+06
0.8,19,726511
0.8,20,3.97219e+06
0.8,21,1.34321e+07
0.8,22,1.02999e+07
0.8,23,1.08838e+08
0.8,24,6.6506e+07
0.8,25,6.8841e+06
0.8,26,345735
0.8,27,3.04197e+06
0.8,28,8.18907e+07
0.8,29,7.03791e+07
0.9,0,3.74051e+06
0.9,1,592305
0.9,2,1.6701e+07
0.9,3,7.83331e+07
0.9,4,1.57478e+06
0.9,5,1.38418e+07
0.9,6,623005
0.9,7,845584
0.9,8,7.53836e+07
0.9,9,2.6329e+06
0.9,10,7.96655e+06
0.9,11,8.53864e+06
0.9,12,416204
0.9,13,3.29626e+06
0.9,14,2.13308e+07
0.9,15,1.13707e+07
0.9,16,1.4292e+08
0.9,17,46151.7
0.9,18,1.19365e+07
0.9,19,1.87121e+07
0.9,20,90049.8
0.9,21,122075
0.9,22,5.76631e+07
0.9,23,4.51977e+07
0.9,24,2.55311e+07
0.9,25,3.93824e+07
0.9,26,6.78417e+07
0.9,27,1.24853e+06
0.9,28,2.80083e+07
0.9,29,501903
1,0,6.3683e+06
1,1,4.77189e+06
1,2,1.06385e+06
1,3,1.0685e+07
1,4,9.11259e+07
1,5,4.33093e+07
1,6,143311
1,7,1.11993e+07
1,8,2.00688e+08
1,9,116004
1,10,80161.4
1,11,1.08261e+06
1,12,4.27571e+07
1,13,9.08635e+06
1,14,4.06985e+06
1,15,869699
1,16,1.43398e+08
1,17,8.96441e+07
1,18,1.4087e+07
1,19,1.85047e+07
1,20,1.67652e+06
1,21,1.54491e+07
1,22,2.06061e+07
1,23,1.49006e+08
1,24,8.77374e+07
1,25,423048
1,26,2.00116e+07
1,27,5.79546e+06
1,28,9.4388e+07
1,29,1.0558e+07
1.1,0,2.40506e+07
1.1,1,817384
1.1,2,237842
1.1,3,252045
1.1,4,3.40806e+06
1.1,5,2.32709e+07
1.1,6,215750
1.1,7,1.24824e+06
1.1,8,1.78165e+08
1.1,9,1.38984e+06
