t,ue,rate_bps
0.1,0,1.2769e+07
0.1,1,3.90965e+06
0.1,2,668616
0.1,3,2.27062e+06
0.1,4,3.47915e+06
0.1,5,3.6565e+07
0.1,6,47074.7
0.1,7,1.16452e+08
0.1,8,6.62786e+06
0.1,9,1.41401e+08
0.1,10,1.04628e+08
0.1,11,414399
0.1,12,1.81427e+07
0.1,13,7.82475e+07
0.1,14,1.2929e+06
0.1,15,4.39455e+07
0.1,16,2.16209e+07
0.1,17,1.26624e+07
0.1,18,4.03322e+07
0.1,19,1.83271e+06
0.1,20,4.16822e+07
0.1,21,53449.3
0.1,22,57715.6
0.1,23,891164
0.1,24,984766
0.1,25,324445
0.1,26,7.98729e+06
0.1,27,4.40467e+06
0.1,28,2.10522e+07
0.1,29,1.01809e+07
0.2,0,1.4324e+06
0.2,1,8.44579e+06
0.2,2,1.27303e+07
0.2,3,3.37716e+07
0.2,4,2.20925e+06
0.2,5,219170
0.2,6,1.63298e+07
0.2,7,7.6004e+06
0.2,8,2.55253e+06
0.2,9,5.40787e+07
0.2,10,6.89372e+07
0.2,11,1.17098e+07
0.2,12,9.23213e+06
0.2,13,1.83433e+07
0.2,14,8.38395e+06
0.2,15,7.79315e+06
0.2,16,944225
0.2,17,2.53119e+06
0.2,18,4.06132e+06
0.2,19,1.05696e+06
0.2,20,1.47414e+07
0.2,21,3.89945e+07
0.2,22,1.73284e+07
0.2,23,3.14182e+06
0.2,24,115557
0.2,25,346052
0.2,26,4.32778e+07
0.2,27,9.16258e+06
0.2,28,2.49159e+06
0.2,29,1.10995e+07
0.3,0,3.71135e+07
0.3,1,3.43483e+07
0.3,2,1.37953e+07
0.3,3,1.41647e+07
0.3,4,6.09123e+07
0.3,5,667227
0.3,6,602560
0.3,7,1.67939e+07
0.3,8,9.55747e+06
0.3,9,9.03858e+07
0.3,10,1.35018e+08
0.3,11,5.86427e+06
0.3,12,3.59392e+06
0.3,13,1.66473e+07
0.3,14,1.51084e+07
0.3,15,994969
0.3,16,697288
0.3,17,1.10927e+07
0.3,18,8.57705e+07
0.3,19,9.56383e+06
0.3,20,4.22913e+07
0.3,21,3.57667e+07
0.3,22,1.40936e+06
0.3,23,1.08738e+06
0.3,24,313502
0.3,25,6.15067e+07
0.3,26,6.51625e+06
0.3,27,60205.7
0.3,28,4.53045e+07
0.3,29,6.67754e+07
0.4,0,2.65739e+06
