t,ue,rate_bps
0.1,0,1.27096e+06
0.1,1,1.17901e+07
0.1,2,1.36405e+07
0.1,3,2.76942e+07
0.1,4,3.38992e+07
0.1,5,1.24238e+07
0.1,6,6.37736e+07
0.1,7,25252.3
0.1,8,5.27359e+06
0.1,9,14629.3
0.1,10,553043
0.1,11,3.25938e+06
0.1,12,5.13388e+06
0.1,13,2.3871e+07
0.1,14,6.3834e+06
0.1,15,687316
0.1,16,460002
0.1,17,4.172e+07
0.1,18,2.33472e+06
0.1,19,7.44252e+06
0.1,20,6.33377e+07
0.1,21,2.26656e+06
0.1,22,645799
0.1,23,2.12552e+07
0.1,24,352254
0.1,25,6.21493e+06
0.1,26,536677
0.1,27,5.88535e+07
0.1,28,1.13137e+07
0.1,29,1.29688e+07
0.2,0,1.77483e+07
0.2,1,2.1861e+07
0.2,2,5.77076e+07
0.2,3,6.93082e+07
0.2,4,1.71945e+07
0.2,5,2.51592e+07
0.2,6,2.44271e+06
0.2,7,2.13414e+07
0.2,8,124020
0.2,9,3.12836e+07
0.2,10,1.17999e+07
0.2,11,1.0915e+07
0.2,12,1.02673e+06
0.2,13,6.01887e+06
0.2,14,1.73044e+07
0.2,15,1.10318e+08
0.2,16,1.88534e+06
0.2,17,2.20758e+07
0.2,18,6.31694e+06
0.2,19,5.36784e+07
0.2,20,3.73307e+07
0.2,21,818655
0.2,22,629551
0.2,23,6.18436e+06
0.2,24,3.08286e+07
0.2,25,2.37546e+07
0.2,26,1.01804e+07
0.2,27,6.47332e+06
0.2,28,2.35746e+06
0.2,29,2.89685e+07
0.3,0,6.83672e+07
0.3,1,3.66104e+06
0.3,2,1.33447e+08
0.3,3,3.01927e+07
0.3,4,968073
0.3,5,218129
0.3,6,767831
0.3,7,4.59246e+07
0.3,8,555271
0.3,9,3.4945e+06
0.3,10,4.2606e+06
0.3,11,2.48096e+06
0.3,12,102465
0.3,13,4.4945e+06
0.3,14,7.14745e+07
0.3,15,1.01776e+06
0.3,16,846753
0.3,17,5.7293e+07
0.3,18,7.30269e+06
0.3,19,3.32938e+07
0.3,20,2.44386e+06
0.3,21,3.96298e+07
0.3,22,4.82103e+06
0.3,23,1.43865e+06
0.3,24,46076.1
0.3,25,3.8931e+07
0.3,26,6.56361e+06
0.3,27,5.10949e+07
0.3,28,892459
0.3,29,144898
0.4,0,6.95701e+06
0.4,1,2.68188e+06
0.4,2,5.13466e+06
0.4,3,7.19692e+06
0.4,4,1.9642e+07
0.4,5,169512
0.4,6,2.68357e+06
0.4,7,1.2336e+06
0.4,8,498685
0.4,9,318319
0.4,10,220422
0.4,11,2.54427e+06
0.4,12,4.95895e+06
0.4,13,1.74841e+06
0.4,14,4.64488e+07
0.4,15,5.29335e+07
0.4,16,577905
0.4,17,2.10319e+07
0.4,18,2.24471e+07
0.4,19,2.40977e+06
0.4,20,7.80517e+07
0.4,21,3.83334e+06
0.4,22,3.83653e+07
0.4,23,3.74921e+07
0.4,24,1.77562e+06
0.4,25,2.13554e+06
0.4,26,1.55374e+07
0.4,27,1.56375e+07
0.4,28,2.03972e+07
0.4,29,1.03263e+08
0.5,0,3.33537e+07
0.5,1,9.17354e+06
0.5,2,1.70306e+07
0.5,3,1.15794e+07
0.5,4,3.10928e+07
0.5,5,1.10969e+07
0.5,6,7.07087e+07
0.5,7,157651
0.5,8,2.19098e+07
0.5,9,1.46908e+07
0.5,10,6.94931e+07
0.5,11,6.15556e+07
0.5,12,30912.2
0.5,13,9.64116e+06
0.5,14,1.48325e+07
0.5,15,4.93945e+06
0.5,16,1.86135e+07
0.5,17,1.27552e+08
0.5,18,2.49337e+06
0.5,19,331634
0.5,20,1.45282e+07
