seed,comm_bytes_base,energy_j_base,avg_latency_ms_base,comm_bytes_sfea,energy_j_sfea,avg_latency_ms_sfea
123,931364000000,4919.08391,33980.900332505866,186272800000,3382.57191,33980.900332505866
42,946312000000,4957.16196,33974.33890084599,189262400000,3408.36196,33974.33890084599
999,1042702121261,4718.092299999999,44019.39062249405,183762400000,3359.06315,34017.76610811794
