round,comm_bytes_mean,comm_bytes_std,comm_bytes_count,energy_j_mean,energy_j_std,energy_j_count,avg_latency_ms_mean,avg_latency_ms_std,avg_latency_ms_count,variant
0,906000000.0,36769552.62170047,2,79.86797,3.0881898718828538,2,669.5419142342341,2.795587811761783,2,baseline
1,1540802187.0,523377844.0743827,3,74.18870333333332,62.83853317778219,3,1264.2454229343477,1039.4525967585735,3,baseline
2,3879644370.3333335,2947010172.4998136,3,91.36577666666669,5.568301257154937,3,1970.9511310786918,2262.996230145642,3,baseline
3,4320719977.666667,2249629325.342182,3,94.94436333333333,7.409243403548897,3,1943.9113902954189,2215.798383763377,3,baseline
4,5145468446.0,2653750613.3532906,3,105.6825,15.854514961675736,3,1043.2107823821088,648.301111316175,3,baseline
5,6157258630.333333,1236205805.164718,3,112.17729999999999,6.7633488073586765,3,667.6724346616402,2.81681787571745,3,baseline
6,6199384303.0,1508800303.0727384,3,99.09406666666666,7.764368014419042,3,667.479016316524,2.613442127555666,3,baseline
7,6875114732.0,1194628537.068446,3,99.20733333333332,4.912677712137589,3,669.9095784432847,3.9453190018628996,3,baseline
8,8181504032.666667,2909564466.931569,3,106.50249999999996,14.482387982304564,3,665.2275367009479,6.262006449992747,3,baseline
9,8352232504.666667,1990809346.2708225,3,98.73363333333334,5.282584454917221,3,665.0062380688606,11.002509607392941,3,baseline
10,9135430189.0,1713091420.1004357,3,99.67706666666669,8.057162687530518,3,668.1881210846019,3.081679892142558,3,baseline
11,9407547662.0,866464672.0351608,3,93.49283333333335,8.751613908493306,3,666.8508406175605,1.5478247087465575,3,baseline
12,10138269457.666666,3109391293.9735174,3,94.94453333333335,16.4509333684546,3,665.3861816956882,4.742349591400304,3,baseline
13,11269150097.333334,1390081301.9487846,3,99.15493333333332,3.435120283677619,3,662.6497044773488,3.4291472143810626,3,baseline
14,11715843739.666666,1923397584.8575552,3,95.72003333333333,9.768384313351596,3,667.7955547486778,7.973022851622097,3,baseline
15,12517909410.666666,1518123662.4133368,3,98.26453333333332,2.9118951051391595,3,665.1362895317876,0.15801708347785748,3,baseline
16,12960160670.333334,1025520111.9007212,3,97.10180000000003,6.7887557541864725,3,664.2626179374719,2.9266906129657513,3,baseline
17,16466767061.666666,3332775795.61104,3,116.45953333333331,21.747640391622564,3,665.715178947266,8.675475234099231,3,baseline
18,13847404100.0,1230441584.9972034,3,92.30026666666667,14.994731019372573,3,667.0224284962836,6.127283087624469,3,baseline
19,15432569215.666666,2753428890.41272,3,100.19913333333334,24.25603245490351,3,667.6974426030491,1.007416868198907,3,baseline
20,15179359947.0,2652202152.245475,3,88.45416666666667,13.300017333948595,3,665.5850723590892,3.8390006447499263,3,baseline
21,16173871451.333334,1198847352.2372558,3,93.9457,9.266587618427884,3,666.2573180878262,4.26485495777976,3,baseline
22,18272301443.333332,978316056.5605834,3,100.21736666666668,7.148390924769982,3,668.44666369432,1.8206395508115936,3,baseline
23,16359405150.0,969561936.4122993,3,90.25156666666669,3.7535791510681102,3,667.2782351636018,7.814858012114498,3,baseline
24,21045058017.333332,5335083019.252281,3,108.4434333333333,22.040650735931838,3,667.6569651064437,7.059167264871383,3,baseline
25,19641671419.0,2165952871.96015,3,96.4722,10.83773944695109,3,664.067241671591,1.8956113872221088,3,baseline
26,19165643987.333332,3823334243.939844,3,90.67286666666666,11.166886649972472,3,665.1867569444445,2.3017283639727752,3,baseline
27,22142755094.666668,348159105.8235681,3,104.33443333333328,4.707652840145814,3,665.9307265183616,6.49617772892199,3,baseline
28,24018536066.333332,6483986133.523524,3,105.15043333333341,24.090448330475972,3,662.8079927451336,2.975128310009898,3,baseline
29,20896710697.333332,2661990777.2116904,3,90.9207333333333,11.935769343169072,3,668.3223356194936,2.4996256245692643,3,baseline
30,23395490441.333332,4383377588.58601,3,96.73600000000003,12.004550262296373,3,667.2295636752137,5.443330787148234,3,baseline
31,21474776798.0,2690568373.547381,3,90.00833333333328,9.116065836386525,3,670.660746536712,1.9533304745708098,3,baseline
32,22885196596.666668,1484426989.10076,3,89.18666666666667,9.243504169595774,3,667.7698511318171,2.7259024809268637,3,baseline
33,26703586814.0,2404167205.621109,3,105.26266666666669,10.546909041673516,3,664.2029873440287,2.695380886936734,3,baseline
34,27577500356.0,2374351194.640839,3,104.12599999999999,12.185888108792023,3,663.3394760639394,3.0579096395774528,3,baseline
35,28959973529.333332,3439559768.6736145,3,106.16933333333334,15.433513447473132,3,667.0148078154426,6.173551062085152,3,baseline
36,26505676687.333332,879408336.7135208,3,94.53333333333326,4.861850710720471,3,666.6956076348279,1.0378459676619423,3,baseline
37,21544563858.0,2595222331.6578355,3,72.7533333333334,6.009434277312059,3,666.5944055567339,4.681744439441182,3,baseline
38,30925985117.666668,4296798743.772444,3,105.32833333333333,9.024562279320458,3,671.0021442028986,5.922143722634393,3,baseline
39,29619437369.333332,2623525065.4117637,3,98.78533333333336,13.796719223544908,3,670.3839485986484,8.495790031084754,3,baseline
40,28909027013.333332,1539140956.2834594,3,92.33666666666666,0.9916835852898531,3,665.8149163569843,2.6967945135455538,3,baseline
41,30139572763.666668,2162836004.1724505,3,97.18133333333327,9.162312444647029,3,659.0477659090909,3.3273410592577415,3,baseline
42,36061955542.666664,4600180119.770244,3,111.77066666666668,10.658608836679104,3,663.0087105263157,6.704548781307544,3,baseline
43,33917986934.333332,3628883586.0440784,3,100.91366666666666,14.298200492835955,3,663.7302969916557,5.952307955296316,3,baseline
