time_s,task_id,ue_id,latency_ms,offloaded
19.7212,9,18,659.722,0
19.859,10,8,682.426,0
19.9773,16,10,641.055,0
20.004,12,13,614.57,0
20.2068,17,10,653.192,0
20.2081,10,16,614.477,0
20.4435,11,8,645.925,0
20.6083,13,13,727.935,0
20.6427,12,8,636.491,0
20.7324,9,9,658.343,0
20.8791,18,10,662.084,0
20.9468,10,9,679.705,0
20.9971,14,6,615.963,0
21.0031,12,24,643.576,0
21.0146,13,8,660.122,0
21.0415,11,9,672.447,0
21.0496,8,19,650.379,0
21.1669,11,16,614.462,0
21.1708,12,5,671.244,0
21.2103,9,19,632.778,0
21.2177,14,8,624.782,0
21.4617,12,9,717.332,0
21.4901,15,6,696.23,0
21.5149,7,21,641.818,0
21.7862,15,8,713.997,0
21.8222,10,17,678.898,0
21.9985,12,15,680.501,0
22.0995,8,23,646.952,0
22.1478,12,16,696.479,0
22.2048,13,9,623.099,0
22.2995,13,24,633.114,0
22.3503,14,24,642.524,0
22.3585,13,16,657.01,0
22.4616,10,19,705.669,0
22.8723,11,20,683.488,0
23.0677,11,19,729.191,0
23.0864,10,18,666.378,0
23.2349,12,20,606.127,0
23.3616,16,6,709.356,0
23.4424,13,20,619.486,0
23.4953,16,8,727.511,0
23.6534,13,5,694.219,0
23.8078,15,11,616.023,0
23.8478,14,5,649.898,0
23.9039,14,13,652.002,0
23.9414,16,14,611.434,0
24.1297,19,10,644.706,0
24.5241,9,12,703.988,0
24.5833,14,20,638.282,0
24.6436,17,14,635.078,0
24.6947,17,8,697.466,0
24.7458,15,5,660.733,0
24.7753,12,19,628.21,0
24.7958,14,16,664.474,0
24.9688,16,5,667.31,0
24.9839,20,10,601.381,0
25.0725,17,5,716.987,0
25.2123,16,11,640.878,0
25.2861,21,7,718.928,0
25.3298,11,17,604.086,0
25.5594,8,21,623.513,0
25.7596,10,12,697.925,0
25.7727,22,7,689.91,0
25.8224,15,13,653.084,0
25.8848,11,12,603.65,0
25.9121,18,5,693.994,0
25.9574,12,12,630.132,0
25.959,15,24,705.795,0
26.153,21,10,706.439,0
26.2705,11,22,618.458,0
26.3753,12,17,677.793,0
26.5743,23,7,673.472,0
26.6482,16,24,699.278,0
27.0643,13,15,698.238,0
27.2192,17,6,664.702,0
27.342,11,18,681.815,0
27.3865,12,22,650.474,0
27.4512,17,11,665.393,0
27.5806,13,22,687.668,0
27.6623,24,7,726.899,0
27.6641,12,18,724.333,0
27.7536,25,7,609.165,0
27.7653,17,24,722.692,0
27.8577,14,15,697.683,0
27.9442,18,11,642.396,0
28.0034,15,16,615.918,0
28.0219,9,23,687.27,0
28.0435,14,9,652.514,0
28.0596,18,8,685.66,0
28.1575,9,21,617.095,0
28.3413,18,6,700.437,0
28.3424,22,10,673.511,0
28.5688,16,16,639.167,0
28.6097,26,7,723.636,0
28.6572,13,12,673.109,0
28.8325,15,15,669.53,0
28.8741,14,22,702.34,0
28.9564,15,9,717.732,0
28.9567,19,11,612.732,0
28.9709,16,15,720.955,0
29.0615,16,9,694.49,0
29.1091,13,17,619.412,0
29.3304,19,5,626.441,0
29.5338,13,18,603.573,0
29.6617,18,24,660.052,0
29.8591,20,11,661.196,0
29.9795,17,15,684.318,0
30.2322,17,9,727.328,0
30.4539,20,5,679.573,0
30.5528,18,15,653.293,0
30.6456,10,21,706.493,0
30.6506,15,20,724.074,0
30.7966,21,5,698.596,0
30.8279,22,5,659.852,0
31.5303,14,17,712.998,0
31.5327,19,6,658.474,0
31.7031,18,14,699.617,0
31.7382,19,15,618.456,0
31.7502,14,18,649.125,0
31.8347,21,11,649.582,0
31.9713,16,13,707.349,0
32.1175,15,17,728.182,0
32.1245,23,11,650.222,0
32.1304,15,18,696.177,0
32.1375,22,11,694.992,0
32.1436,23,5,731.089,0
32.1447,15,22,715.325,0
32.2103,16,17,717.256,0
32.2556,20,6,668.211,0
32.2904,11,21,717.298,0
32.3005,16,22,600.26,0
32.6417,20,15,678.015,0
32.6671,17,16,683.88,0
32.6682,16,18,654.065,0
32.8137,23,10,669.329,0
33.0036,19,8,611.637,0
33.1211,24,10,638.879,0
33.1456,27,7,638.48,0
33.1602,19,14,680.146,0
33.2497,21,6,709.823,0
33.2777,17,18,671.531,0
33.367,17,13,723.037,0
33.4591,20,14,708.16,0
33.5589,20,8,644.485,0
33.5794,18,13,720.286,0
33.6549,22,6,649.207,0
33.9025,28,7,655.751,0
33.9169,18,18,648.126,0
34.0126,16,20,614.438,0
34.0673,21,14,702.776,0
34.1121,19,13,685.583,0
34.1433,14,12,665.703,0
34.1835,19,18,662.025,0
34.2583,25,10,676.58,0
34.5375,18,9,655.822,0
34.5855,10,23,648.542,0
34.6611,21,8,692.231,0
34.7335,15,12,670.375,0
34.7479,23,6,661.083,0
34.7569,22,14,658.299,0
34.8104,13,19,625.613,0
34.8879,16,12,658.221,0
34.9097,17,22,651.497,0
35.0744,24,5,706.37,0
35.1633,12,21,608.989,0
35.1753,18,22,691.908,0
35.2312,26,5,604.655,0
35.2852,25,5,668.526,0
35.2868,20,18,601.393,0
35.481,19,22,665.791,0
35.5769,24,6,666.589,0
35.582,19,9,700.671,0
35.6054,18,16,719,0
35.6685,25,6,699.664,0
35.6788,23,14,609.1,0
35.7322,21,15,654.364,0
35.7552,17,20,655.615,0
35.7663,26,6,671.65,0
35.8405,20,9,633.82,0
35.9842,24,14,615.291,0
36.2442,13,21,636.407,0
36.2912,29,7,615.917,0
36.3456,30,7,616.796,0
36.712,19,16,663.776,0
36.851,21,18,617.17,0
36.8938,25,14,675.524,0
37.0102,26,10,713.504,0
37.1707,27,10,691.121,0
37.2096,20,22,676.65,0
37.2901,20,13,608.321,0
37.3254,21,22,611.564,0
37.3672,24,11,675.336,0
37.637,27,6,648.481,0
37.6936,20,16,726.963,0
37.7755,21,13,709.581,0
37.7923,22,22,721.746,0
37.9871,22,13,606.875,0
38.0166,14,21,672.177,0
38.0545,28,6,638.37,0
38.1122,11,23,687.931,0
38.141,28,10,723.834,0
38.2195,23,22,651.098,0
38.2242,29,10,695.978,0
38.2667,22,15,627.34,0
38.3128,24,22,712.217,0
38.5381,19,24,724.577,0
38.5478,25,11,666.582,0
38.5717,17,12,670.153,0
38.6422,22,18,629.068,0
39.081,23,18,620.358,0
39.1207,18,20,674.756,0
39.3871,21,16,719.12,0
39.403,31,7,648.738,0
39.6055,17,17,652.043,0
39.8214,25,22,676.692,0
39.8935,20,24,669.102,0
40.1839,32,7,690.398,0
40.2124,27,22,613.008,0
40.2293,26,22,719.089,0
40.3788,21,24,678.751,0
40.7812,22,16,664.316,0
40.7929,30,10,628.336,0
40.9898,31,10,695.652,0
41.1189,18,12,696.61,0
41.1384,21,9,642.833,0
41.2042,15,21,667.18,0
41.3193,16,21,641.571,0
41.3727,26,11,720.349,0
41.4189,22,9,678.308,0
41.4636,22,8,679.398,0
