time_s,ue_id,cpu_j,radio_j,total_j
12.9189,24,5.89932,0.768,6.66732
12.9819,14,11.8558,1.536,13.3918
13.0339,7,15.901,2.048,17.949
13.0684,8,7.00724,0.896,7.90324
13.1066,22,9.34759,1.152,10.4996
13.3005,9,5.74666,0.768,6.51466
13.5423,17,8.07513,1.024,9.09913
13.6517,20,7.0705,0.896,7.9665
13.7099,16,5.1702,0.64,5.8102
13.8218,19,7.07008,0.896,7.96608
13.8335,13,8.59038,1.152,9.74238
13.927,14,12.8545,1.664,14.5185
14.1129,15,10.3435,1.28,11.6235
14.5437,21,3.84895,0.512,4.36095
14.5942,9,6.69747,0.896,7.59347
14.678,15,10.3435,1.28,11.6235
14.6968,10,11.8463,1.536,13.3823
14.7386,6,11.0365,1.408,12.4445
14.8176,7,18.0634,2.304,20.3674
14.9409,7,18.0634,2.304,20.3674
15.1474,6,11.0365,1.408,12.4445
15.2305,24,7.9177,1.024,8.9417
15.3304,11,11.8732,1.536,13.4092
15.348,18,7.05934,0.896,7.95534
15.4831,16,8.12658,1.024,9.15058
15.5804,12,6.79131,0.896,7.68731
15.6225,16,8.12658,1.024,9.15058
15.8221,24,7.9177,1.024,8.9417
16.1101,16,8.12658,1.024,9.15058
16.1409,21,4.80976,0.64,5.44976
16.2525,6,12.0197,1.536,13.5557
16.435,8,8.84183,1.152,9.99383
16.5351,8,8.84183,1.152,9.99383
16.6692,14,13.7833,1.792,15.5753
16.7192,12,7.77422,1.024,8.79822
16.7636,15,11.253,1.408,12.661
16.95,22,10.4417,1.28,11.7217
17.016,7,19.0094,2.432,21.4414
17.194,24,8.90317,1.152,10.0552
17.254,20,8.00004,1.024,9.02404
17.3492,9,7.70615,1.024,8.73015
17.4953,11,12.7799,1.664,14.4439
17.6557,14,14.8781,1.92,16.7981
17.9717,5,11.4173,1.408,12.8253
18.011,20,9.08645,1.152,10.2385
18.0547,17,9.0866,1.152,10.2386
18.0778,18,8.05877,1.024,9.08277
18.1295,13,9.67462,1.28,10.9546
18.1922,24,10.8367,1.408,12.2447
18.2463,21,5.88362,0.768,6.65162
18.4146,7,19.9162,2.56,22.4762
18.5231,5,11.4173,1.408,12.8253
18.6508,24,10.8367,1.408,12.2447
18.9227,6,13.0342,1.664,14.6982
19.004,10,13.8689,1.792,15.6609
19.1196,16,9.17228,1.152,10.3243
19.3107,10,14.8502,1.92,16.7702
