time_s,ue_id,tx_bytes,rx_bytes
10.4815,11,8800000,0
10.5122,5,7200000,0
10.6736,7,10400000,0
10.7097,5,7200000,0
10.7649,19,4800000,0
10.771,15,6400000,0
10.8381,7,10400000,0
10.9933,10,8000000,0
11.1105,7,11200000,0
11.1754,8,4000000,0
11.1831,9,3200000,0
11.4409,23,5600000,0
11.5791,10,8000000,0
11.6218,21,2400000,0
11.6956,21,2400000,0
11.712,7,12000000,0
12.0499,7,12000000,0
12.4401,8,5600000,0
12.6089,14,9600000,0
12.6538,6,7200000,0
12.7322,24,4800000,0
12.7835,9,4800000,0
12.7991,10,8800000,0
12.8946,14,9600000,0
12.9189,24,4800000,0
12.9819,14,9600000,0
13.0339,7,12800000,0
13.0684,8,5600000,0
13.1066,22,7200000,0
13.3005,9,4800000,0
13.5423,17,6400000,0
13.6517,20,5600000,0
13.7099,16,4000000,0
13.8218,19,5600000,0
13.8335,13,7200000,0
13.927,14,10400000,0
14.1129,15,8000000,0
14.5437,21,3200000,0
14.5942,9,5600000,0
14.678,15,8000000,0
14.6968,10,9600000,0
14.7386,6,8800000,0
14.8176,7,14400000,0
14.9409,7,14400000,0
15.1474,6,8800000,0
15.2305,24,6400000,0
15.3304,11,9600000,0
15.348,18,5600000,0
15.4831,16,6400000,0
15.5804,12,5600000,0
15.6225,16,6400000,0
15.8221,24,6400000,0
16.1101,16,6400000,0
16.1409,21,4000000,0
16.2525,6,9600000,0
16.435,8,7200000,0
16.5351,8,7200000,0
16.6692,14,11200000,0
16.7192,12,6400000,0
16.7636,15,8800000,0
16.95,22,8000000,0
17.016,7,15200000,0
17.194,24,7200000,0
17.254,20,6400000,0
17.3492,9,6400000,0
17.4953,11,10400000,0
17.6557,14,12000000,0
17.9717,5,8800000,0
18.011,20,7200000,0
18.0547,17,7200000,0
18.0778,18,6400000,0
18.1295,13,8000000,0
18.1922,24,8800000,0
18.2463,21,4800000,0
18.4146,7,16000000,0
18.5231,5,8800000,0
18.6508,24,8800000,0
18.9227,6,10400000,0
19.004,10,11200000,0
19.1196,16,7200000,0
19.3107,10,12000000,0
19.4464,11,11200000,0
19.5138,20,8000000,0
19.5501,13,9600000,0
19.7111,10,13600000,0
19.7212,18,7200000,0
19.859,8,8800000,0
19.9773,10,13600000,0
20.004,13,10400000,0
20.2068,10,13600000,0
20.2081,16,8000000,0
20.4435,8,10400000,0
20.6083,13,10400000,0
20.6427,8,11200000,0
20.7324,9,8800000,0
20.8791,10,14400000,0
20.9468,9,9600000,0
20.9971,6,12000000,0
21.0031,24,9600000,0
21.0146,8,11200000,0
21.0415,9,9600000,0
21.0496,19,7200000,0
21.1669,16,8800000,0
21.1708,5,9600000,0
21.2103,19,7200000,0
21.2177,8,12000000,0
21.4617,9,9600000,0
21.4901,6,12000000,0
21.5149,21,5600000,0
21.7862,8,12000000,0
21.8222,17,8000000,0
21.9985,15,9600000,0
22.0995,23,6400000,0
22.1478,16,10400000,0
22.2048,9,10400000,0
22.2995,24,11200000,0
22.3503,24,11200000,0
22.3585,16,10400000,0
22.4616,19,8800000,0
22.8723,20,10400000,0
23.0677,19,8800000,0
23.0864,18,8000000,0
23.2349,20,10400000,0
23.3616,6,12800000,0
23.4424,20,10400000,0
23.4953,8,12800000,0
23.6534,5,11200000,0
23.8078,11,12000000,0
23.8478,5,11200000,0
23.9039,13,11200000,0
23.9414,14,12800000,0
24.1297,10,15200000,0
24.5241,12,7200000,0
24.5833,20,11200000,0
24.6436,14,13600000,0
24.6947,8,13600000,0
24.7458,5,13600000,0
24.7753,19,9600000,0
24.7958,16,11200000,0
24.9688,5,13600000,0
24.9839,10,16000000,0
25.0725,5,13600000,0
25.2123,11,12800000,0
25.2861,7,17600000,0
25.3298,17,8800000,0
25.5594,21,6400000,0
25.7596,12,9600000,0
25.7727,7,17600000,0
25.8224,13,12000000,0
25.8848,12,9600000,0
25.9121,5,14400000,0
25.9574,12,9600000,0
25.959,24,12800000,0
26.153,10,16800000,0
26.2705,22,8800000,0
26.3753,17,9600000,0
26.5743,7,18400000,0
26.6482,24,12800000,0
27.0643,15,10400000,0
27.2192,6,13600000,0
27.342,18,9600000,0
27.3865,22,10400000,0
27.4512,11,14400000,0
27.5806,22,10400000,0
27.6623,7,20000000,0
27.6641,18,9600000,0
27.7536,7,20000000,0
27.7653,24,13600000,0
27.8577,15,11200000,0
27.9442,11,14400000,0
28.0034,16,12800000,0
28.0219,23,7200000,0
28.0435,9,11200000,0
28.0596,8,14400000,0
28.1575,21,7200000,0
28.3413,6,14400000,0
28.3424,10,17600000,0
28.5688,16,12800000,0
28.6097,7,20800000,0
28.6572,12,10400000,0
28.8325,15,12800000,0
28.8741,22,11200000,0
28.9564,9,12800000,0
28.9567,11,15200000,0
28.9709,15,12800000,0
29.0615,9,12800000,0
29.1091,17,10400000,0
29.3304,5,15200000,0
29.5338,18,10400000,0
29.6617,24,14400000,0
29.8591,11,16000000,0
29.9795,15,14400000,0
30.2322,9,13600000,0
30.4539,5,17600000,0
30.5528,15,14400000,0
30.6456,21,8000000,0
30.6506,20,12000000,0
30.7966,5,17600000,0
30.8279,5,17600000,0
31.5303,17,12800000,0
31.5327,6,15200000,0
31.7031,14,14400000,0
31.7382,15,15200000,0
31.7502,18,12000000,0
31.8347,11,18400000,0
31.9713,13,12800000,0
32.1175,17,12800000,0
32.1245,11,18400000,0
32.1304,18,12800000,0
32.1375,11,18400000,0
32.1436,5,18400000,0
32.1447,22,12800000,0
32.2103,17,12800000,0
32.2556,6,16000000,0
32.2904,21,8800000,0
32.3005,22,12800000,0
32.6417,15,16000000,0
32.6671,16,13600000,0
32.6682,18,13600000,0
32.8137,10,19200000,0
33.0036,8,16000000,0
33.1211,10,19200000,0
33.1456,7,21600000,0
33.1602,14,16000000,0
33.2497,6,17600000,0
33.2777,18,14400000,0
33.367,13,14400000,0
33.4591,14,16800000,0
33.5589,8,16000000,0
33.5794,13,15200000,0
33.6549,6,17600000,0
33.9025,7,22400000,0
33.9169,18,15200000,0
34.0126,20,12800000,0
34.0673,14,16800000,0
