time_s,ue_id,cpu_j,radio_j,total_j
20.6975,16,6.3548,17.1799,23.5347
20.6986,22,5.80592,13.3398,19.1457
20.7928,7,6.14613,15.9313,22.0774
20.868,20,4.91003,17.9799,22.8899
20.8714,6,3.08466,15.3156,18.4002
20.8739,14,4.98619,8.67841,13.6646
21.0412,18,5.12702,10.089,15.216
21.0484,23,4.88436,13.4245,18.3088
21.0842,7,6.14613,15.9313,22.0774
21.1174,9,4.08641,8.63574,12.7221
21.2169,6,3.08466,15.3156,18.4002
21.3872,19,4.9529,20.3088,25.2617
21.4203,15,6.95936,13.0069,19.9663
21.4568,7,6.14613,15.9313,22.0774
21.5193,9,4.08641,8.63574,12.7221
21.6252,5,4.84726,19.0801,23.9273
21.734,17,8.09718,17.4096,25.5068
21.8945,15,6.95936,13.0069,19.9663
21.9806,24,6.0216,10.059,16.0806
22.0574,23,5.96823,14.0645,20.0327
22.1037,5,4.84726,19.0801,23.9273
22.1221,20,4.91003,17.9799,22.8899
22.2794,22,6.77398,13.9798,20.7538
22.4813,18,6.15764,10.729,16.8866
22.5172,12,6.8028,12.0611,18.8639
22.5796,11,4.99045,11.7633,16.7537
22.673,19,5.91959,20.9488,26.8684
22.6934,14,6.95908,9.95841,16.9175
22.768,12,6.8028,12.0611,18.8639
22.7704,14,6.95908,9.95841,16.9175
22.8414,22,6.77398,13.9798,20.7538
22.9853,17,10.055,18.6896,28.7446
23.1908,7,7.08255,16.5713,23.6538
23.2098,13,8.24813,13.8915,22.1396
23.2487,17,10.9932,19.3296,30.3229
23.3121,8,7.15462,16.3219,23.4765
23.5495,23,9.13537,15.9845,25.1198
23.6062,19,5.91959,20.9488,26.8684
23.6115,13,8.24813,13.8915,22.1396
23.7638,17,11.9321,19.9696,31.9018
23.7964,23,9.13537,15.9845,25.1198
23.8967,23,9.13537,15.9845,25.1198
24.1394,17,12.921,20.6096,33.5306
24.2332,14,7.97633,10.5984,18.5747
24.3506,22,8.84529,15.2598,24.1051
24.4228,9,5.18616,9.27574,14.4619
24.4294,11,6.07671,12.4033,18.48
24.4958,12,8.87441,13.3411,22.2155
