round,comm_bytes,avg_latency_ms,energy_j
0,676000000,666.9864838709675,51.806439999999995
1,1408000000,667.6499677419353,100.20185000000004
2,2216000000,672.9993125000001,107.14315999999998
3,2568000000,665.8725555555554,88.49930000000003
4,4492000000,667.6929729729732,123.14179999999998
5,4872000000,667.5262615384614,105.06439999999998
6,5212000000,664.6584098360653,101.54309999999995
7,5776000000,672.041120689655,94.01009999999995
8,8696000000,669.436052631579,123.21909999999997
9,7708000000,653.9234677419356,102.1016
10,8844000000,670.6936065573773,103.83130000000003
11,8012000000,667.717603773585,83.625
12,10832000000,664.4921492537313,111.21939999999998
13,10400000000,666.4744999999999,95.19000000000001
14,11024000000,676.7603620689654,94.36279999999998
15,11656000000,665.274288135593,96.5839
16,11360000000,661.9503750000001,91.52229999999999
17,15172000000,673.8040285714286,117.31300000000002
18,11604000000,672.0671800000001,80.54729999999999
19,10512000000,667.760068181818,72.3627
20,14720000000,668.9022280701754,93.63399999999999
21,14148000000,668.5801346153845,86.98899999999998
22,16760000000,666.5372622950815,96.78350000000003
23,14960000000,676.1958846153846,86.02189999999997
24,23752000000,674.9640253164554,133.87219999999996
25,18032000000,665.0194137931035,94.89500000000002
26,20892000000,666.3179375,103.28900000000003
27,19916000000,671.6528983050847,98.91499999999996
28,26404000000,665.7393421052634,124.55300000000003
29,20180000000,667.8136428571428,88.59700000000002
30,25272000000,663.7510000000001,109.58499999999992
31,22128000000,669.7474736842103,98.79600000000008
32,20980000000,668.331826923077,80.35899999999998
33,22256000000,662.9435636363635,93.19699999999997
34,24276000000,660.1927758620687,94.53500000000003
35,25892000000,661.1334067796608,94.70100000000002
36,24124000000,666.7368518518518,91.67399999999998
37,21108000000,664.0088913043479,72.16400000000002
38,32884000000,677.8181159420291,115.74699999999996
39,25888000000,660.6338333333331,84.90899999999999
40,28112000000,666.4890175438596,93.46400000000008
41,28172000000,662.8684999999999,94.80199999999994
42,38392000000,670.4581315789471,123.418
43,27484000000,657.9832500000001,84.71399999999997
44,38948000000,662.2688750000001,115.8670000000001
45,30236000000,663.3499090909091,89.9309999999999
46,34832000000,664.7019682539683,103.12999999999994
47,31228000000,664.5363333333335,90.06600000000009
48,36076000000,661.7284590163935,97.91099999999997
49,32284000000,667.607388888889,91.87800000000004
50,5436000000,672.973,11.601000000000056
