time_s,ue_id,cpu_j,radio_j,total_j
0.818591,10,0.920387,0.64,1.56039
0.823514,6,0.927771,0.64,1.56777
0.830309,16,0.937963,0.64,1.57796
0.832873,23,0.941809,0.64,1.58181
0.841113,20,0.954169,0.64,1.59417
0.843996,7,2.93025,1.92,4.85025
0.844746,18,0.959619,0.64,1.59962
0.86922,14,0.996329,0.64,1.63633
0.870723,8,0.998585,0.64,1.63858
0.871705,5,1.00006,0.64,1.64006
0.881583,17,1.01487,0.64,1.65487
0.890899,11,1.02885,0.64,1.66885
0.895288,13,1.03543,0.64,1.67543
0.901174,9,1.04426,0.64,1.68426
0.904276,22,1.04891,0.64,1.68891
0.908315,19,1.05497,0.64,1.69497
0.911023,15,1.05903,0.64,1.69903
0.914482,21,2.11451,1.28,3.39451
0.923062,24,1.07709,0.64,1.71709
0.934543,12,2.00318,1.28,3.28318
1.05384,21,2.11451,1.28,3.39451
1.34722,7,3.99573,2.56,6.55573
1.43753,12,2.00318,1.28,3.28318
1.47765,7,3.99573,2.56,6.55573
1.65931,13,2.13344,1.28,3.41344
1.72602,24,2.09417,1.28,3.37417
1.72814,7,3.99573,2.56,6.55573
1.8597,22,1.95682,1.28,3.23682
2.07369,5,2.84324,1.92,4.76324
2.16892,9,2.01793,1.28,3.29793
2.348,10,1.83028,1.28,3.11028
2.50088,6,2.0142,1.28,3.2942
2.57064,13,3.08964,1.92,5.00964
2.61748,7,4.95556,3.2,8.15556
2.64449,5,2.84324,1.92,4.76324
2.64917,23,2.02881,1.28,3.30881
2.73541,19,2.06259,1.28,3.34259
2.74238,18,2.90382,1.92,4.82382
2.91925,18,2.90382,1.92,4.82382
3.01418,21,3.04513,1.92,4.96513
3.02343,14,1.93068,1.28,3.21068
3.46268,19,4.07318,2.56,6.63318
3.57071,7,6.00638,3.84,9.84638
3.63974,8,1.90918,1.28,3.18918
3.72684,20,1.98081,1.28,3.26081
3.7681,23,2.9843,1.92,4.9043
3.85041,18,5.02503,3.2,8.22503
3.9308,21,4.13379,2.56,6.69379
3.93214,13,4.13324,2.56,6.69324
3.96285,11,2.11551,1.28,3.39551
3.99971,19,4.07318,2.56,6.63318
4.09964,10,3.90369,2.56,6.46369
4.18543,16,1.94078,1.28,3.22078
4.4821,6,2.94945,1.92,4.86945
4.49689,18,5.02503,3.2,8.22503
4.70482,10,3.90369,2.56,6.46369
4.76335,19,7.09954,4.48,11.5795
4.77019,8,5.01517,3.2,8.21517
4.82024,8,5.01517,3.2,8.21517
4.84242,17,1.9781,1.28,3.2581
4.85325,22,3.03864,1.92,4.95864
4.87852,24,3.04073,1.92,4.96073
4.93844,21,7.08168,4.48,11.5617
4.99328,8,5.01517,3.2,8.21517
5.03877,5,3.78973,2.56,6.34973
5.10436,12,3.03935,1.92,4.95935
5.13368,19,7.09954,4.48,11.5795
5.21078,9,2.96684,1.92,4.88684
5.23992,14,2.90792,1.92,4.82792
5.28524,19,7.09954,4.48,11.5795
5.38371,21,7.08168,4.48,11.5617
5.41412,23,4.02523,2.56,6.58523
5.44255,21,7.08168,4.48,11.5617
5.97868,20,2.98367,1.92,4.90367
6.0044,8,7.94437,5.12,13.0644
6.20752,21,8.94639,5.76,14.7064
6.24405,14,3.95601,2.56,6.51601
6.25361,8,7.94437,5.12,13.0644
6.32638,18,6.99831,4.48,11.4783
6.36423,21,8.94639,5.76,14.7064
6.43304,5,4.74348,3.2,7.94348
6.46957,18,6.99831,4.48,11.4783
6.55817,8,7.94437,5.12,13.0644
6.58965,9,3.9853,2.56,6.5453
6.6036,17,2.9365,1.92,4.8565
6.66443,22,4.06594,2.56,6.62594
6.73715,16,2.91399,1.92,4.83399
6.90552,19,8.03998,5.12,13.16
7.03574,6,4.00116,2.56,6.56116
7.41878,17,3.9702,2.56,6.5302
7.45868,16,5.01666,3.2,8.21666
7.69252,9,5.04727,3.2,8.24727
7.7664,11,4.2429,2.56,6.8029
7.8082,24,4.02178,2.56,6.58178
8.08814,16,6.05981,3.84,9.89981
8.15063,6,4.92986,3.2,8.12986
8.30211,11,5.22909,3.2,8.42909
8.32055,7,7.00715,4.48,11.4871
8.32754,15,3.0663,1.92,4.9863
8.33917,9,5.94764,3.84,9.78764
8.36048,21,9.89605,6.4,16.2961
8.48078,18,7.94202,5.12,13.062
8.51933,8,8.89965,5.76,14.6597
8.52324,11,5.22909,3.2,8.42909
8.53648,16,7.01212,4.48,11.4921
8.8323,15,3.0663,1.92,4.9863
8.85285,16,7.01212,4.48,11.4921
9.07086,13,5.17302,3.2,8.37302
9.23877,24,5.07337,3.2,8.27337
9.30647,22,6.04702,3.84,9.88702
9.51523,22,7.05618,4.48,11.5362
9.52205,18,9.93344,6.4,16.3334
9.56987,8,9.91504,6.4,16.315
9.64131,21,10.9244,7.04,17.9644
9.65608,15,5.19885,3.2,8.39885
9.71732,14,4.89148,3.2,8.09148
9.73842,15,5.19885,3.2,8.39885
9.92527,11,6.32049,3.84,10.1605
9.98327,17,4.97446,3.2,8.17446
10.0041,5,6.9128,4.48,11.3928
10.0107,22,7.05618,4.48,11.5362
10.0769,9,6.85036,4.48,11.3304
10.0862,18,9.93344,6.4,16.3334
10.2907,5,6.9128,4.48,11.3928
10.3139,21,12.8208,8.32,21.1408
10.5523,7,8.04935,5.12,13.1694
10.5564,21,12.8208,8.32,21.1408
10.6693,15,7.22788,4.48,11.7079
10.8761,20,4.95596,3.2,8.15596
10.8774,24,6.1266,3.84,9.9666
10.8787,9,8.92223,5.76,14.6822
10.9037,16,8.07249,5.12,13.1925
11.0723,15,7.22788,4.48,11.7079
11.1605,20,4.95596,3.2,8.15596
11.2222,17,5.95945,3.84,9.79945
