round,comm_bytes,avg_latency_ms,energy_j
0,176000000,667.5651351351349,56.45167
1,360000000,667.2846119402988,75.63794
2,463200000,667.1007586206896,65.46193
3,579200000,664.5073559322033,66.36083
4,668000000,670.4777037037037,63.51117999999998
5,1039200000,664.9315492957743,77.61281000000002
6,1168800000,669.8184126984127,72.57070000000002
7,1247200000,665.3569838709678,68.6052
8,1288800000,658.0312241379312,67.02920000000003
9,1554400000,665.1685555555554,69.71000000000001
10,1543200000,669.1236785714285,62.230599999999995
11,1764000000,667.7710847457628,69.08090000000001
12,1892000000,670.5119166666666,65.59479999999999
13,2154400000,661.624580645161,69.46699999999998
14,2409600000,661.4984153846152,72.81610000000005
15,2248800000,664.9639137931033,66.37440000000001
16,2711200000,663.2843384615384,71.89179999999996
17,3732800000,666.7885421686748,94.75809999999997
18,2539200000,668.7961509433961,60.03130000000001
19,3394400000,666.6601739130434,76.63450000000002
20,3214400000,666.4731166666664,67.66230000000002
21,3458400000,661.3352741935486,71.69610000000003
22,3469600000,670.163183333333,65.7389
23,3310400000,664.0146727272729,62.86949999999998
24,3564000000,660.8750175438597,64.99270000000001
25,3437600000,661.8842962962962,59.368500000000004
26,3448000000,666.704019607843,56.44740000000001
27,4399200000,667.2699843749999,73.36429999999997
28,3380800000,659.7909375000002,53.60990000000002
29,4500800000,671.0371803278688,71.59210000000002
30,4517600000,664.4351333333335,65.10849999999992
31,3890400000,669.3313400000001,55.50730000000006
32,4259200000,664.8067592592593,60.76289999999999
33,5831200000,662.3678529411767,77.39980000000003
34,5187200000,666.300096774194,68.76859999999998
35,5191200000,666.467016666667,68.8626
36,5492000000,667.7122166666668,68.91499999999995
37,4613600000,671.99874,54.460600000000085
38,5771200000,667.11595,68.88399999999993
39,5608800000,674.3209830508475,68.228
40,5765600000,662.8450172413793,62.92700000000008
41,5556000000,657.4876727272729,61.28199999999991
42,6620800000,661.1089846153845,75.09300000000007
43,7354400000,669.8685652173913,76.96900000000002
44,6726400000,666.1151935483867,68.76799999999996
45,5823200000,671.3633846153848,59.024
46,8054400000,668.5820416666668,83.7339999999999
47,6960800000,669.61965,67.86900000000007
48,9114400000,655.4289610389609,84.49600000000007
49,6636800000,663.588272727273,65.27299999999997
50,1169600000,682.6623,6.856999999999971
