time_s,ue_id,cpu_j,radio_j,total_j
14.9049,22,9.04742,5.76,14.8074
15.0692,15,8.87877,5.76,14.6388
15.1284,23,8.10358,5.12,13.2236
15.1772,24,6.92377,4.48,11.4038
15.276,20,6.89451,4.48,11.3745
15.5304,10,7.25781,4.48,11.7378
15.5917,13,10.0743,6.4,16.4743
15.6301,5,9.93802,6.4,16.338
15.6315,7,10.0736,6.4,16.4736
15.8088,21,10.1417,6.4,16.5417
15.8389,10,7.25781,4.48,11.7378
15.8525,15,9.9067,6.4,16.3067
15.9304,14,6.95029,4.48,11.4303
15.9999,12,10.8632,7.04,17.9032
16.0177,5,10.8623,7.04,17.9023
16.0838,16,8.26707,5.12,13.3871
16.1392,16,8.26707,5.12,13.3871
16.1575,8,7.89097,5.12,13.011
16.1938,17,7.84432,5.12,12.9643
16.4404,5,10.8623,7.04,17.9023
16.6331,10,8.20237,5.12,13.3224
17.0615,19,11.2435,7.04,18.2835
17.1186,20,7.88321,5.12,13.0032
17.1861,24,8.90136,5.76,14.6614
17.2075,18,7.90652,5.12,13.0265
17.2292,14,7.89181,5.12,13.0118
17.2375,24,8.90136,5.76,14.6614
17.271,19,11.2435,7.04,18.2835
17.3441,8,8.92019,5.76,14.6802
17.4636,21,12.1778,7.68,19.8578
17.599,21,12.1778,7.68,19.8578
17.6167,15,10.9089,7.04,17.9489
17.6746,23,9.10581,5.76,14.8658
17.7758,13,12.1952,7.68,19.8752
17.9349,17,10.9289,7.04,17.9689
17.9402,17,10.9289,7.04,17.9689
17.9811,13,12.1952,7.68,19.8752
18.0087,22,9.96298,6.4,16.363
18.0278,17,10.9289,7.04,17.9689
18.2273,8,9.92194,6.4,16.3219
18.6423,7,11.1551,7.04,18.1951
18.6818,16,9.33096,5.76,15.091
19.0478,8,11.9797,7.68,19.6597
19.2455,19,12.1506,7.68,19.8306
19.3249,21,13.1457,8.32,21.4657
19.5358,13,14.0849,8.96,23.0449
19.5925,8,11.9797,7.68,19.6597
19.6391,10,9.17493,5.76,14.9349
19.6735,5,11.801,7.68,19.481
19.9862,16,10.4024,6.4,16.8024
19.9959,13,14.0849,8.96,23.0449
20.2101,23,10.0362,6.4,16.4362
20.2751,20,9.86951,6.4,16.2695
20.295,9,5.04581,3.2,8.24581
20.4986,24,9.98239,6.4,16.3824
20.5115,17,11.8645,7.68,19.5445
20.5209,20,9.86951,6.4,16.2695
20.5404,22,11.9101,7.68,19.5901
20.5646,11,11.8581,7.68,19.5381
20.6975,16,11.4152,7.04,18.4552
20.6986,22,11.9101,7.68,19.5901
20.7928,7,13.1375,8.32,21.4575
20.8714,6,10.4291,6.4,16.8291
20.8739,14,8.88257,5.76,14.6426
21.0412,18,8.9146,5.76,14.6746
21.0484,23,11.105,7.04,18.145
21.0842,7,13.1375,8.32,21.4575
21.1174,9,7.14775,4.48,11.6277
21.3872,19,13.0895,8.32,21.4095
21.4203,15,12.9498,8.32,21.2698
21.5193,9,7.14775,4.48,11.6277
21.734,17,12.8254,8.32,21.1454
21.8945,15,12.9498,8.32,21.2698
22.0574,23,12.1889,7.68,19.8689
22.1037,5,12.7854,8.32,21.1054
22.2794,22,12.8781,8.32,21.1981
22.4813,18,9.94522,6.4,16.3452
22.5796,11,12.8317,8.32,21.1517
22.673,19,14.0562,8.96,23.0162
22.6934,14,10.8555,7.04,17.8955
22.768,12,11.9205,7.68,19.6005
22.7704,14,10.8555,7.04,17.8955
22.9853,17,14.7831,9.6,24.3831
23.1908,7,14.0739,8.96,23.0339
23.2098,13,16.1468,10.24,26.3868
23.2487,17,15.7214,10.24,25.9614
23.5495,23,15.356,9.6,24.956
23.6115,13,16.1468,10.24,26.3868
23.7638,17,16.6603,10.88,27.5403
23.7964,23,15.356,9.6,24.956
23.8967,23,15.356,9.6,24.956
24.1394,17,17.6492,11.52,29.1692
24.2332,14,11.8727,7.68,19.5527
24.3506,22,14.9494,9.6,24.5494
24.4228,9,8.2475,5.12,13.3675
24.4294,11,13.9179,8.96,22.8779
24.4958,12,13.9921,8.96,22.9521
24.4959,17,17.6492,11.52,29.1692
24.5049,18,10.9883,7.04,18.0283
24.5663,12,13.9921,8.96,22.9521
24.5739,6,12.3693,7.68,20.0493
24.7597,22,16.0233,10.24,26.2633
24.805,21,14.2226,8.96,23.1826
24.9446,14,13.9128,8.96,22.8728
24.9625,6,12.3693,7.68,20.0493
24.9638,10,10.2319,6.4,16.6319
25.0476,7,15.055,9.6,24.655
25.0851,22,16.0233,10.24,26.2633
25.3167,20,10.9232,7.04,17.9632
25.3477,14,13.9128,8.96,22.8728
25.5226,21,15.1752,9.6,24.7752
25.6198,24,12.0018,7.68,19.6818
25.6615,18,13.9719,8.96,22.9319
25.7199,6,13.3168,8.32,21.6368
25.7245,13,17.097,10.88,27.977
25.7696,8,12.8999,8.32,21.2199
25.8803,22,18.0534,11.52,29.5734
25.8818,9,9.21438,5.76,14.9744
25.9879,23,16.2971,10.24,26.5371
25.9936,18,13.9719,8.96,22.9319
26.092,5,14.6503,9.6,24.2503
26.0933,15,13.8594,8.96,22.8194
26.1259,22,18.0534,11.52,29.5734
26.1502,18,14.9509,9.6,24.5509
26.1752,5,14.6503,9.6,24.2503
26.2688,24,13.0711,8.32,21.3911
26.4101,12,15.052,9.6,24.652
26.4602,24,13.0711,8.32,21.3911
26.7795,18,16.8664,10.88,27.7464
27.1654,20,12.9426,8.32,21.2626
27.1961,6,14.4015,8.96,23.3615
27.2438,18,16.8664,10.88,27.7464
27.2706,12,17.9173,11.52,29.4373
27.3108,15,15.9752,10.24,26.2152
27.3721,18,16.8664,10.88,27.7464
27.374,22,19.1451,12.16,31.3051
27.3759,5,17.448,11.52,28.968
27.4194,20,12.9426,8.32,21.2626
27.4597,5,17.448,11.52,28.968
27.4604,8,13.9799,8.96,22.9399
27.4846,15,15.9752,10.24,26.2152
27.4965,21,16.1475,10.24,26.3875
27.499,12,17.9173,11.52,29.4373
27.6609,17,18.683,12.16,30.843
27.7113,12,17.9173,11.52,29.4373
27.7331,5,17.448,11.52,28.968
28.0308,24,14.055,8.96,23.015
28.2399,11,14.8229,9.6,24.4229
28.2726,19,15.0666,9.6,24.6666
28.9542,23,17.3542,10.88,28.2342
29.0372,7,17.0666,10.88,27.9466
29.1207,9,10.2708,6.4,16.6708
29.2163,19,16.0979,10.24,26.3379
29.4783,8,15.0785,9.6,24.6785
29.5304,21,19.2011,12.16,31.3611
29.557,7,17.0666,10.88,27.9466
29.5985,21,19.2011,12.16,31.3611
29.6238,16,14.3072,8.96,23.2672
29.6318,12,19.8372,12.8,32.6372
29.6771,16,14.3072,8.96,23.2672
29.7048,16,14.3072,8.96,23.2672
29.8151,21,19.2011,12.16,31.3611
29.8154,9,11.2729,7.04,18.3129
29.8516,17,19.6006,12.8,32.4006
29.9123,22,21.1759,13.44,34.6159
30.0586,12,20.9359,13.44,34.3759
30.1496,18,17.7917,11.52,29.3117
30.1663,22,21.1759,13.44,34.6159
30.2798,23,18.2555,11.52,29.7755
30.3867,8,16.1319,10.24,26.3719
30.4386,15,18.1249,11.52,29.6449
30.4441,12,20.9359,13.44,34.3759
30.5468,10,12.2689,7.68,19.9489
30.6914,14,14.9759,9.6,24.5759
30.7614,7,19.0863,12.16,31.2463
30.7674,15,18.1249,11.52,29.6449
30.9596,13,19.1124,12.16,31.2724
31.002,13,19.1124,12.16,31.2724
31.1088,10,12.2689,7.68,19.9489
31.109,7,19.0863,12.16,31.2463
31.2371,5,18.4213,12.16,30.5813
31.3291,6,16.4037,10.24,26.6437
31.4646,23,20.3121,12.8,33.1121
31.6674,23,20.3121,12.8,33.1121
31.6676,16,15.3133,9.6,24.9133
31.8418,11,15.8502,10.24,26.0902
31.9698,6,16.4037,10.24,26.6437
32.0513,17,20.6218,13.44,34.0618
32.0548,15,19.1277,12.16,31.2877
32.0792,9,12.2316,7.68,19.9116
32.1023,20,13.9626,8.96,22.9226
32.2259,7,21.078,13.44,34.518
32.2739,19,17.1213,10.88,28.0013
32.5257,21,20.271,12.8,33.071
32.819,7,21.078,13.44,34.518
32.863,24,14.9609,9.6,24.5609
32.887,20,14.8766,9.6,24.4766
32.9359,5,20.4407,13.44,33.8807
32.9628,14,15.8933,10.24,26.1333
33.0217,5,20.4407,13.44,33.8807
33.0475,16,17.2612,10.88,28.1412
33.0727,10,15.2661,9.6,24.8661
33.1052,13,20.1576,12.8,32.9576
33.112,12,22.8354,14.72,37.5554
33.1367,16,17.2612,10.88,28.1412
33.1968,18,18.8913,12.16,31.0513
33.2525,10,15.2661,9.6,24.8661
33.2826,11,17.8024,11.52,29.3224
33.4609,22,23.1012,14.72,37.8212
33.4746,12,22.8354,14.72,37.5554
33.5392,10,15.2661,9.6,24.8661
33.5518,11,17.8024,11.52,29.3224
33.5879,8,17.1169,10.88,27.9969
33.6048,22,23.1012,14.72,37.8212
34.291,21,22.307,14.08,36.387
34.2926,10,16.2418,10.24,26.4818
34.3611,15,20.227,12.8,33.027
34.4002,16,18.3231,11.52,29.8431
34.4759,22,24.1,15.36,39.46
34.5631,21,22.307,14.08,36.387
35.2998,17,22.5982,14.72,37.3182
35.4725,14,16.9377,10.88,27.8177
35.4817,19,19.9595,12.8,32.7595
35.509,12,24.8288,16,40.8288
35.5383,24,15.9778,10.24,26.2178
35.7687,19,20.9468,13.44,34.3868
35.8507,12,24.8288,16,40.8288
35.8561,23,21.3628,13.44,34.8028
35.9013,17,22.5982,14.72,37.3182
35.9705,19,20.9468,13.44,34.3868
36.0844,15,22.2614,14.08,36.3414
36.2007,13,21.2317,13.44,34.6717
36.2045,19,20.9468,13.44,34.3868
36.2409,5,21.5333,14.08,35.6133
36.2951,15,22.2614,14.08,36.3414
36.7491,21,23.3315,14.72,38.0515
36.7688,22,25.0612,16,41.0612
36.8881,13,22.2544,14.08,36.3344
36.8946,20,15.8793,10.24,26.1193
37.6298,10,18.1516,11.52,29.6716
37.8646,19,22.8172,14.72,37.5372
37.8753,20,17.8091,11.52,29.3291
