time_s,ue_id,tx_bytes,rx_bytes
0.815874,8,8000000,0
0.817046,18,4000000,0
0.848173,11,8000000,0
0.874192,17,4000000,0
0.875353,14,8000000,0
0.875772,21,8000000,0
0.876348,13,8000000,0
0.880635,22,8000000,0
0.884913,7,4000000,0
0.887015,23,8000000,0
0.905309,12,4000000,0
0.907771,15,8000000,0
0.909216,10,4000000,0
0.911577,20,4000000,0
0.911736,16,4000000,0
0.917952,24,4000000,0
0.921552,6,4000000,0
0.929084,19,4000000,0
0.930654,9,8000000,0
0.934476,5,12000000,0
0.940683,14,8000000,0
0.999416,8,8000000,0
1.01846,21,8000000,0
1.0789,23,8000000,0
1.16628,11,8000000,0
1.17423,22,8000000,0
1.28976,9,8000000,0
1.32035,5,12000000,0
1.42272,5,12000000,0
1.53332,15,8000000,0
1.59692,13,8000000,0
2.11943,19,8000000,0
2.28024,9,12000000,0
2.31635,11,12000000,0
2.47388,17,8000000,0
2.86178,5,20000000,0
3.04768,21,16000000,0
3.34029,11,16000000,0
3.38391,13,20000000,0
3.40268,5,20000000,0
3.42488,7,8000000,0
3.62377,16,8000000,0
3.76769,21,16000000,0
3.77186,13,20000000,0
3.84579,13,20000000,0
4.19458,20,8000000,0
4.50144,16,12000000,0
4.53199,7,16000000,0
4.60677,17,12000000,0
4.68498,7,16000000,0
4.78653,23,12000000,0
5.05331,6,8000000,0
5.07059,22,12000000,0
5.31759,19,12000000,0
5.38429,12,8000000,0
5.40452,24,16000000,0
5.4255,24,16000000,0
5.43945,8,12000000,0
5.6379,13,24000000,0
5.73257,11,24000000,0
5.78211,24,16000000,0
5.93235,11,28000000,0
6.09909,23,16000000,0
6.25517,12,16000000,0
6.25604,15,16000000,0
6.26862,8,16000000,0
6.40312,11,28000000,0
6.44033,7,20000000,0
6.53175,21,24000000,0
6.57883,17,20000000,0
6.66452,17,20000000,0
6.68512,12,20000000,0
6.75544,5,24000000,0
6.82958,19,16000000,0
6.8555,15,20000000,0
6.86429,21,24000000,0
6.98053,12,20000000,0
7.04331,23,24000000,0
7.08972,16,16000000,0
7.11573,18,12000000,0
7.19147,11,32000000,0
7.35396,15,20000000,0
7.52464,22,20000000,0
7.55744,14,16000000,0
7.58197,18,12000000,0
7.59012,23,24000000,0
7.6876,10,8000000,0
7.79855,6,20000000,0
7.80181,6,20000000,0
7.93073,20,12000000,0
7.99582,22,20000000,0
8.12163,6,20000000,0
8.23285,14,16000000,0
8.24386,5,28000000,0
8.72355,16,20000000,0
8.76955,15,24000000,0
8.8351,19,24000000,0
9.02303,19,28000000,0
9.22731,6,28000000,0
9.4246,5,32000000,0
9.47534,8,20000000,0
9.58551,19,32000000,0
9.71596,20,20000000,0
9.82664,6,28000000,0
9.9339,20,20000000,0
9.93573,19,32000000,0
9.95288,18,16000000,0
9.96615,13,32000000,0
10.0959,7,24000000,0
10.2412,22,24000000,0
10.2887,13,36000000,0
10.5303,12,24000000,0
10.5709,17,28000000,0
10.7319,18,24000000,0
10.9261,8,24000000,0
10.9332,7,32000000,0
10.9514,13,36000000,0
11.1194,10,12000000,0
11.1597,7,32000000,0
11.1905,17,28000000,0
11.1936,22,32000000,0
11.3699,18,24000000,0
11.5766,22,32000000,0
11.7265,24,20000000,0
12.1669,6,32000000,0
12.2963,8,28000000,0
12.4235,21,28000000,0
12.4329,7,36000000,0
12.5174,12,28000000,0
12.5411,10,20000000,0
12.5706,15,32000000,0
12.6883,14,20000000,0
12.8848,16,24000000,0
12.9426,15,32000000,0
