time_s,ue_id,cpu_j,radio_j,total_j
0.810462,9,0.908192,0.64,1.54819
0.812946,12,0.911919,0.64,1.55192
0.814439,7,1.86313,1.28,3.14313
0.81623,10,0.916845,0.64,1.55685
0.821793,13,1.83364,1.28,3.11364
0.835568,8,0.945853,0.64,1.58585
0.840171,6,2.04158,1.28,3.32158
0.858959,21,0.980939,0.64,1.62094
0.867165,22,0.993248,0.64,1.63325
0.870945,14,1.98271,1.28,3.26271
0.874563,24,1.00434,0.64,1.64434
0.882187,20,1.95809,1.28,3.23809
0.886923,15,2.09203,1.28,3.37203
0.907356,14,1.98271,1.28,3.26271
0.907565,19,3.06107,1.92,4.98107
0.914636,5,1.06445,0.64,1.70445
0.915198,23,1.0653,0.64,1.7053
0.921398,18,1.0746,0.64,1.7146
0.923229,11,2.0097,1.28,3.2897
0.93404,17,1.09356,0.64,1.73356
0.93626,16,1.09689,0.64,1.73689
1.12627,19,3.06107,1.92,4.98107
1.13543,11,2.0097,1.28,3.2897
1.15439,20,1.95809,1.28,3.23809
1.18766,19,3.06107,1.92,4.98107
1.25342,7,1.86313,1.28,3.14313
1.37241,13,2.85536,1.92,4.77536
1.40404,15,3.15845,1.92,5.07845
1.47112,6,2.04158,1.28,3.32158
1.5485,12,1.90931,1.28,3.18931
1.76128,22,2.08784,1.28,3.36784
1.96789,13,2.85536,1.92,4.77536
1.99291,15,3.15845,1.92,5.07845
2.21963,23,2.15579,1.28,3.43579
2.38687,17,2.09302,1.28,3.37302
2.42994,7,3.83035,2.56,6.39035
2.57124,18,1.99815,1.28,3.27815
2.57745,8,1.94832,1.28,3.22832
2.61927,24,2.03293,1.28,3.31293
2.70367,13,4.71384,3.2,7.91384
2.84268,13,4.71384,3.2,7.91384
2.86293,20,3.01647,1.92,4.93647
2.87851,11,3.0696,1.92,4.9896
2.88603,10,2.83379,1.92,4.75379
2.99201,7,3.83035,2.56,6.39035
3.03762,17,3.04976,1.92,4.96976
3.03903,14,3.98544,2.56,6.54544
3.10529,10,2.83379,1.92,4.75379
3.2108,15,5.21804,3.2,8.41804
3.43109,5,3.10519,1.92,5.02519
3.46994,15,5.21804,3.2,8.41804
3.5485,14,5.07504,3.2,8.27504
3.68473,6,3.03054,1.92,4.95054
3.76867,17,5.00377,3.2,8.20377
3.80033,17,5.00377,3.2,8.20377
3.83105,5,3.10519,1.92,5.02519
3.8731,14,5.07504,3.2,8.27504
4.21451,15,6.22526,3.84,10.0653
4.5036,23,3.21831,1.92,5.13831
4.51891,19,5.05572,3.2,8.25572
4.54296,11,4.08277,2.56,6.64277
4.54905,13,5.70791,3.84,9.54791
4.58385,17,7.09278,4.48,11.5728
4.6595,14,6.10427,3.84,9.94427
4.73699,20,4.05543,2.56,6.61543
4.92818,24,2.96927,1.92,4.88927
4.94715,17,7.09278,4.48,11.5728
4.94889,10,3.91793,2.56,6.47793
4.96384,16,2.12658,1.28,3.40658
4.97727,7,4.89127,3.2,8.09127
5.03063,22,3.17744,1.92,5.09744
5.07916,19,5.05572,3.2,8.25572
5.13683,18,3.03976,1.92,4.95976
5.24521,11,6.08142,3.84,9.92142
5.83437,11,7.03791,4.48,11.5179
6.01148,5,5.07018,3.2,8.27018
6.06588,11,7.03791,4.48,11.5179
6.09553,10,5.87837,3.84,9.71837
6.26423,7,8.84356,5.76,14.6036
6.40924,20,5.10673,3.2,8.30673
6.41196,18,4.13121,2.56,6.69121
6.51662,10,5.87837,3.84,9.71837
6.56635,22,5.19784,3.2,8.39784
6.67382,5,5.07018,3.2,8.27018
6.75376,22,6.26628,3.84,10.1063
6.79944,7,8.84356,5.76,14.6036
6.81158,7,8.84356,5.76,14.6036
6.8308,6,4.00339,2.56,6.56339
6.89175,7,8.84356,5.76,14.6036
6.98736,13,6.73857,4.48,11.2186
7.15464,14,8.02632,5.12,13.1463
7.17245,23,5.05558,3.2,8.25558
7.18887,12,3.90745,2.56,6.46745
7.21338,18,5.18043,3.2,8.38043
7.27969,20,6.15983,3.84,9.99983
7.31276,12,3.90745,2.56,6.46745
7.44723,22,7.27166,4.48,11.7517
7.5984,11,7.95763,5.12,13.0776
7.61411,22,7.27166,4.48,11.7517
7.67494,23,5.05558,3.2,8.25558
7.69528,14,8.02632,5.12,13.1463
7.87504,10,6.83595,4.48,11.3159
7.95837,5,7.13749,4.48,11.6175
8.08649,6,6.88745,4.48,11.3675
8.17587,12,4.86255,3.2,8.06255
8.26751,6,6.88745,4.48,11.3675
8.30348,5,7.13749,4.48,11.6175
8.46959,16,3.04098,1.92,4.96098
8.50507,6,7.9626,5.12,13.0826
8.53803,11,8.90522,5.76,14.6652
8.68561,23,6.10345,3.84,9.94345
8.89817,9,2.7529,1.92,4.6729
8.95412,8,3.92968,2.56,6.48968
8.9951,7,9.85531,6.4,16.2553
9.05649,6,7.9626,5.12,13.0826
9.26652,24,3.87806,2.56,6.43806
9.37739,12,5.87124,3.84,9.71124
9.41028,9,2.7529,1.92,4.6729
9.48708,8,3.92968,2.56,6.48968
9.55288,13,7.66981,5.12,12.7898
9.58966,11,9.85975,6.4,16.2598
9.64967,18,6.13297,3.84,9.97297
9.66536,22,8.3025,5.12,13.4225
9.80508,10,7.77927,5.12,12.8993
9.88106,16,4.1077,2.56,6.6677
10.042,15,7.23164,4.48,11.7116
10.445,14,8.9405,5.76,14.7005
10.4815,11,10.8554,7.04,17.8954
10.5122,5,9.23614,5.76,14.9961
10.6736,7,12.7707,8.32,21.0907
10.7097,5,9.23614,5.76,14.9961
10.7649,19,6.13595,3.84,9.97595
10.771,15,8.23038,5.12,13.3504
10.8381,7,12.7707,8.32,21.0907
10.9933,10,9.84057,6.4,16.2406
11.1105,7,13.7905,8.96,22.7505
11.1754,8,4.96585,3.2,8.16585
