time_s,ue_id,cpu_j,radio_j,total_j
13.1474,23,4.96288,0.64,5.60288
13.1827,11,8.22456,1.024,9.24856
13.3657,5,8.97088,1.152,10.1229
13.4733,7,13.2217,1.664,14.8857
13.507,10,4.89128,0.64,5.53128
13.5282,7,13.2217,1.664,14.8857
13.5831,7,14.2602,1.792,16.0522
13.685,19,11.8988,1.536,13.4348
13.76,6,5.84754,0.768,6.61554
13.8359,19,11.8988,1.536,13.4348
13.8407,7,14.2602,1.792,16.0522
13.9762,14,8.06753,1.024,9.09153
14.0747,23,6.02069,0.768,6.78869
14.2398,13,6.19783,0.768,6.96583
14.2488,7,14.2602,1.792,16.0522
14.3131,18,13.8709,1.792,15.6629
14.3191,16,9.00761,1.152,10.1596
14.4135,18,13.8709,1.792,15.6629
14.5752,21,14.741,1.92,16.661
14.732,14,10.1348,1.28,11.4148
14.9612,20,6.86554,0.896,7.76154
14.9669,5,10.0238,1.28,11.3038
15.0215,11,9.21886,1.152,10.3709
15.0234,23,7.0688,0.896,7.9648
15.1125,14,10.1348,1.28,11.4148
15.1151,18,14.8006,1.92,16.7206
15.2063,13,7.21073,0.896,8.10673
15.3737,15,8.16159,1.024,9.18559
15.419,10,6.93667,0.896,7.83267
15.6916,22,8.88698,1.152,10.039
15.8301,7,15.3299,1.92,17.2499
15.8491,10,6.93667,0.896,7.83267
16.1006,20,7.91221,1.024,8.93621
16.227,17,9.05153,1.152,10.2035
16.2309,15,10.0051,1.28,11.2851
16.248,13,8.27262,1.024,9.29662
16.5013,8,10.8873,1.408,12.2953
16.7511,15,10.0051,1.28,11.2851
16.779,19,12.8071,1.664,14.4711
17.1908,13,9.34062,1.152,10.4926
17.2021,14,11.1564,1.408,12.5644
17.2296,7,17.3442,2.176,19.5202
17.3183,7,17.3442,2.176,19.5202
17.6114,11,10.2302,1.28,11.5102
17.6561,24,7.07518,0.896,7.97118
17.7183,16,10.0614,1.28,11.3414
17.8366,6,6.90547,0.896,7.80147
17.8457,5,11.0474,1.408,12.4554
18.1203,21,15.6867,2.048,17.7347
18.1471,17,9.99194,1.28,11.2719
18.1712,10,7.87098,1.024,8.89498
18.3027,19,13.9021,1.792,15.6941
18.3666,8,11.9475,1.536,13.4835
18.5412,23,8.11967,1.024,9.14367
18.727,9,10.8538,1.408,12.2618
18.8379,15,11.9959,1.536,13.5319
19.0185,15,11.9959,1.536,13.5319
19.0445,8,14.0154,1.792,15.8074
19.0759,12,5.02868,0.64,5.66868
19.0999,8,14.0154,1.792,15.8074
19.1355,24,8.01093,1.024,9.03493
19.2626,16,11.0712,1.408,12.4792
19.2892,12,5.02868,0.64,5.66868
19.4651,9,11.9359,1.536,13.4719
19.5478,14,13.1381,1.664,14.8021
19.5747,7,18.3094,2.304,20.6134
19.7512,14,13.1381,1.664,14.8021
19.8704,10,9.94069,1.28,11.2207
20.0219,21,16.5951,2.176,18.7711
20.0967,10,9.94069,1.28,11.2207
20.2815,23,10.0478,1.28,11.3278
20.4579,11,11.3043,1.408,12.7123
20.6109,14,14.1309,1.792,15.9229
20.7536,10,10.9178,1.408,12.3258
20.859,23,10.0478,1.28,11.3278
20.9804,15,12.9658,1.664,14.6298
21.0962,6,7.96284,1.024,8.98684
21.1073,17,10.9331,1.408,12.3411
21.2076,24,11.0881,1.408,12.4961
21.3339,24,11.0881,1.408,12.4961
21.3647,16,11.9962,1.536,13.5322
21.4391,24,11.0881,1.408,12.4961
21.4856,5,12.0619,1.536,13.5979
21.4907,13,10.3767,1.28,11.6567
21.7048,22,9.88253,1.28,11.1625
21.7353,11,13.2395,1.664,14.9035
21.8239,18,15.821,2.048,17.869
21.8439,19,14.9533,1.92,16.8733
21.8964,11,13.2395,1.664,14.9035
22.3589,21,18.5643,2.432,20.9963
22.4722,15,13.9304,1.792,15.7224
22.6104,6,9.03053,1.152,10.1825
