time_s,ue_id,tx_bytes,rx_bytes
0.815874,8,1600000,0
0.817046,18,800000,0
0.848173,11,1600000,0
0.874192,17,800000,0
0.875353,14,1600000,0
0.875772,21,1600000,0
0.876348,13,1600000,0
0.880635,22,1600000,0
0.884913,7,800000,0
0.887015,23,1600000,0
0.905309,12,800000,0
0.907771,15,1600000,0
0.909216,10,800000,0
0.911577,20,800000,0
0.911736,16,800000,0
0.917952,24,800000,0
0.921552,6,800000,0
0.929084,19,800000,0
0.930654,9,1600000,0
0.934476,5,2400000,0
0.940683,14,1600000,0
0.999416,8,1600000,0
1.01846,21,1600000,0
1.0789,23,1600000,0
1.16628,11,1600000,0
1.17423,22,1600000,0
1.28976,9,1600000,0
1.32035,5,2400000,0
1.42272,5,2400000,0
1.53332,15,1600000,0
1.59692,13,1600000,0
2.11943,19,1600000,0
2.28024,9,2400000,0
2.31635,11,2400000,0
2.47388,17,1600000,0
2.86178,5,4000000,0
3.04768,21,3200000,0
3.34029,11,3200000,0
3.38391,13,4000000,0
3.40268,5,4000000,0
3.42488,7,1600000,0
3.62377,16,1600000,0
3.76769,21,3200000,0
3.77186,13,4000000,0
3.84579,13,4000000,0
4.19458,20,1600000,0
4.50144,16,2400000,0
4.53199,7,3200000,0
4.60677,17,2400000,0
4.68498,7,3200000,0
4.78653,23,2400000,0
5.05331,6,1600000,0
5.07059,22,2400000,0
5.31759,19,2400000,0
5.38429,12,1600000,0
5.40452,24,3200000,0
5.4255,24,3200000,0
5.43945,8,2400000,0
5.6379,13,4800000,0
5.73257,11,4800000,0
5.78211,24,3200000,0
5.93235,11,5600000,0
6.09909,23,3200000,0
6.25517,12,3200000,0
6.25604,15,3200000,0
6.26862,8,3200000,0
6.40312,11,5600000,0
6.44033,7,4000000,0
6.53175,21,4800000,0
6.57883,17,4000000,0
6.66452,17,4000000,0
6.68512,12,4000000,0
6.75544,5,4800000,0
6.82958,19,3200000,0
6.8555,15,4000000,0
6.86429,21,4800000,0
6.98053,12,4000000,0
7.04331,23,4800000,0
7.08972,16,3200000,0
7.11573,18,2400000,0
7.19147,11,6400000,0
7.35396,15,4000000,0
7.52464,22,4000000,0
7.55744,14,3200000,0
7.58197,18,2400000,0
7.59012,23,4800000,0
7.6876,10,1600000,0
7.79855,6,4000000,0
7.80181,6,4000000,0
7.93073,20,2400000,0
7.99582,22,4000000,0
8.12163,6,4000000,0
8.23285,14,3200000,0
8.24386,5,5600000,0
8.72355,16,4000000,0
8.76955,15,4800000,0
8.8351,19,4800000,0
9.02303,19,5600000,0
9.22731,6,5600000,0
9.4246,5,6400000,0
9.47534,8,4000000,0
9.58551,19,6400000,0
9.71596,20,4000000,0
9.82664,6,5600000,0
9.9339,20,4000000,0
9.93573,19,6400000,0
9.95288,18,3200000,0
9.96615,13,6400000,0
10.0959,7,4800000,0
10.2412,22,4800000,0
10.2887,13,7200000,0
10.5303,12,4800000,0
10.5709,17,5600000,0
10.7319,18,4800000,0
10.9261,8,4800000,0
10.9332,7,6400000,0
10.9514,13,7200000,0
11.1194,10,2400000,0
11.1597,7,6400000,0
11.1905,17,5600000,0
11.1936,22,6400000,0
11.3699,18,4800000,0
11.5766,22,6400000,0
11.7265,24,4000000,0
12.1669,6,6400000,0
12.2963,8,5600000,0
12.4235,21,5600000,0
12.4329,7,7200000,0
12.5174,12,5600000,0
12.5411,10,4000000,0
12.5706,15,6400000,0
12.6883,14,4000000,0
12.8848,16,4800000,0
12.9426,15,6400000,0
13.0518,10,4000000,0
13.126,11,8000000,0
13.2334,11,8000000,0
13.4052,6,7200000,0
13.41,18,5600000,0
13.458,21,6400000,0
13.4745,12,8000000,0
13.5089,24,4800000,0
13.8158,12,8000000,0
13.8486,12,8000000,0
14.0315,19,7200000,0
14.0642,23,5600000,0
14.1766,9,3200000,0
14.1771,11,8800000,0
14.2711,20,4800000,0
14.3595,21,7200000,0
14.5848,14,4800000,0
14.9049,22,7200000,0
15.0692,15,7200000,0
15.1284,23,6400000,0
15.1772,24,5600000,0
15.276,20,5600000,0
15.5304,10,5600000,0
15.5917,13,8000000,0
15.6301,5,8000000,0
15.6315,7,8000000,0
15.8088,21,8000000,0
15.8389,10,5600000,0
15.8525,15,8000000,0
15.9304,14,5600000,0
15.9999,12,8800000,0
16.0177,5,8800000,0
16.0838,16,6400000,0
16.1392,16,6400000,0
16.1575,8,6400000,0
16.1938,17,6400000,0
