time_s,ue_id,cpu_j,radio_j,total_j
0.815874,8,1.88271,0.256,2.13871
0.817046,18,0.918069,0.128,1.04607
0.848173,11,1.96171,0.256,2.21771
0.874192,17,1.00379,0.128,1.13179
0.875353,14,1.90835,0.256,2.16435
0.875772,21,2.03787,0.256,2.29387
0.876348,13,2.1025,0.256,2.3585
0.880635,22,2.01586,0.256,2.27186
0.884913,7,1.01987,0.128,1.14787
0.887015,23,2.09943,0.256,2.35543
0.905309,12,1.05046,0.128,1.17846
0.907771,15,2.02062,0.256,2.27662
0.909216,10,1.05632,0.128,1.18432
0.911577,20,1.05987,0.128,1.18787
0.911736,16,1.0601,0.128,1.1881
0.917952,24,1.06943,0.128,1.19743
0.921552,6,1.07483,0.128,1.20283
0.929084,19,1.08613,0.128,1.21413
0.930654,9,2.14081,0.256,2.39681
0.934476,5,3.06412,0.384,3.44812
0.940683,14,1.90835,0.256,2.16435
0.999416,8,1.88271,0.256,2.13871
1.01846,21,2.03787,0.256,2.29387
1.0789,23,2.09943,0.256,2.35543
1.16628,11,1.96171,0.256,2.21771
1.17423,22,2.01586,0.256,2.27186
1.28976,9,2.14081,0.256,2.39681
1.32035,5,3.06412,0.384,3.44812
1.42272,5,3.06412,0.384,3.44812
1.53332,15,2.02062,0.256,2.27662
1.59692,13,2.1025,0.256,2.3585
2.11943,19,2.07432,0.256,2.33032
2.28024,9,3.06134,0.384,3.44534
2.31635,11,2.86281,0.384,3.24681
2.47388,17,1.9506,0.256,2.2066
2.86178,5,5.06267,0.64,5.70267
3.04768,21,4.15365,0.512,4.66565
3.34029,11,3.89176,0.512,4.40376
3.38391,13,4.8368,0.64,5.4768
3.40268,5,5.06267,0.64,5.70267
3.42488,7,2.03472,0.256,2.29072
3.62377,16,2.0915,0.256,2.3475
3.76769,21,4.15365,0.512,4.66565
3.77186,13,4.8368,0.64,5.4768
3.84579,13,4.8368,0.64,5.4768
4.19458,20,1.9864,0.256,2.2424
4.50144,16,3.13282,0.384,3.51682
4.53199,7,4.02696,0.512,4.53896
4.60677,17,2.89679,0.384,3.28079
4.68498,7,4.02696,0.512,4.53896
4.78653,23,3.11944,0.384,3.50344
5.05331,6,2.13772,0.256,2.39372
5.07059,22,3.01185,0.384,3.39585
5.31759,19,3.0131,0.384,3.3971
5.38429,12,1.97562,0.256,2.23162
5.40452,24,3.96078,0.512,4.47278
5.4255,24,3.96078,0.512,4.47278
5.43945,8,2.84461,0.384,3.22861
5.6379,13,5.89108,0.768,6.65908
5.73257,11,5.85152,0.768,6.61952
5.78211,24,3.96078,0.512,4.47278
5.93235,11,6.78105,0.896,7.67705
6.09909,23,4.21438,0.512,4.72638
6.25517,12,4.14097,0.512,4.65297
6.25604,15,4.00877,0.512,4.52077
6.26862,8,3.90202,0.512,4.41402
6.40312,11,6.78105,0.896,7.67705
6.44033,7,5.1071,0.64,5.7471
6.53175,21,6.21573,0.768,6.98373
6.57883,17,4.72818,0.64,5.36818
6.66452,17,4.72818,0.64,5.36818
6.68512,12,5.11774,0.64,5.75774
6.75544,5,5.98777,0.768,6.75577
6.82958,19,4.06922,0.512,4.58122
6.8555,15,4.93675,0.64,5.57675
6.86429,21,6.21573,0.768,6.98373
6.98053,12,5.11774,0.64,5.75774
7.04331,23,6.22066,0.768,6.98866
7.08972,16,4.10397,0.512,4.61597
7.11573,18,2.77656,0.384,3.16056
7.19147,11,7.84121,1.024,8.86521
7.35396,15,4.93675,0.64,5.57675
7.52464,22,5.10928,0.64,5.74928
7.55744,14,3.89638,0.512,4.40838
7.58197,18,2.77656,0.384,3.16056
7.59012,23,6.22066,0.768,6.98866
7.6876,10,2.03456,0.256,2.29056
7.79855,6,5.25296,0.64,5.89296
7.80181,6,5.25296,0.64,5.89296
7.93073,20,2.90446,0.384,3.28846
7.99582,22,5.10928,0.64,5.74928
8.12163,6,5.25296,0.64,5.89296
8.23285,14,3.89638,0.512,4.40838
8.24386,5,7.00443,0.896,7.90043
8.72355,16,5.06042,0.64,5.70042
8.76955,15,5.99046,0.768,6.75846
8.8351,19,6.1529,0.768,6.9209
9.02303,19,7.20329,0.896,8.09929
9.22731,6,7.34442,0.896,8.24042
9.4246,5,7.93815,1.024,8.96215
