time_s,task_id,ue_id,latency_ms,offloaded
0.815874,1,8,610.874,0
0.817046,1,18,612.046,0
0.848173,1,11,643.173,0
0.874192,1,17,669.192,0
0.875353,1,14,670.353,0
0.875772,1,21,670.772,0
0.876348,1,13,671.348,0
0.880635,1,22,675.635,0
0.884913,1,7,679.913,0
0.887015,1,23,682.015,0
0.905309,1,12,700.309,0
0.907771,1,15,702.771,0
0.909216,1,10,704.216,0
0.911577,1,20,706.577,0
0.911736,1,16,706.736,0
0.917952,1,24,712.952,0
0.921552,1,6,716.552,0
0.929084,1,19,724.084,0
0.930654,1,9,725.654,0
0.934476,1,5,729.476,0
0.940683,2,14,601.88,0
0.999416,2,8,644.263,0
1.01846,2,21,687.807,0
1.0789,2,23,717.605,0
1.16628,2,11,664.637,0
1.17423,2,22,668.274,0
1.28976,2,9,701.552,0
1.32035,2,5,684.902,0
1.42272,3,5,628.367,0
1.53332,2,15,644.312,0
1.59692,2,13,730.32,0
2.11943,2,19,658.799,0
2.28024,3,9,613.686,0
2.31635,3,11,600.732,0
2.47388,2,17,631.208,0
2.86178,4,5,708.658,0
3.04768,3,21,685.563,0
3.34029,4,11,685.966,0
3.38391,3,13,605.386,0
3.40268,5,5,623.71,0
3.42488,2,7,676.567,0
3.62377,2,16,687.596,0
3.76769,4,21,724.958,0
3.77186,4,13,610.394,0
3.84579,5,13,607.088,0
4.19458,2,20,617.691,0
4.50144,3,16,694.211,0
4.53199,3,7,694.665,0
4.60677,3,17,630.795,0
4.68498,4,7,633.496,0
4.78653,3,23,680.007,0
5.05331,2,6,708.598,0
5.07059,3,22,663.994,0
5.31759,3,19,625.853,0
5.38429,2,12,616.772,0
5.40452,2,24,694.631,0
5.4255,3,24,604.901,0
5.43945,3,8,641.272,0
5.6379,6,13,702.852,0
5.73257,5,11,700.097,0
5.78211,4,24,628.039,0
5.93235,6,11,606.41,0
6.09909,4,23,729.958,0
6.25517,3,12,721.183,0
6.25604,3,15,632.794,0
6.26862,4,8,704.938,0
6.40312,7,11,619.687,0
6.44033,5,7,720.093,0
6.53175,5,21,717.875,0
6.57883,4,17,605.762,0
6.66452,5,17,615.163,0
6.68512,4,12,722.38,0
6.75544,6,5,616.733,0
6.82958,4,19,704.077,0
6.8555,4,15,692.638,0
6.86429,6,21,656.843,0
6.98053,5,12,651.182,0
7.04331,5,23,730.372,0
7.08972,4,16,647.436,0
7.11573,2,18,633.22,0
7.19147,8,11,706.774,0
7.35396,5,15,618.653,0
7.52464,4,22,713.953,0
7.55744,3,14,624.77,0
7.58197,3,18,605.774,0
7.59012,6,23,607.152,0
7.6876,2,10,652.158,0
7.79855,4,6,662.74,0
7.80181,3,6,730.474,0
7.93073,3,20,612.042,0
7.99582,5,22,684.332,0
8.12163,5,6,683.61,0
8.23285,4,14,700.585,0
8.24386,7,5,677.774,0
8.72355,5,16,637.635,0
8.76955,6,15,702.476,0
8.8351,5,19,678.295,0
9.02303,6,19,710.829,0
9.22731,6,6,689.987,0
9.4246,8,5,622.476,0
9.47534,5,8,615.344,0
9.58551,7,19,700.258,0
9.71596,4,20,708.544,0
9.82664,7,6,704.316,0
9.9339,5,20,661.466,0
9.93573,8,19,622.178,0
9.95288,4,18,674.017,0
9.96615,7,13,657.021,0
10.0959,6,7,601.128,0
10.2412,6,22,663.244,0
10.2887,8,13,681.366,0
10.5303,6,12,638.92,0
10.5709,6,17,709.541,0
10.7319,5,18,686.05,0
10.9261,6,8,609.376,0
10.9332,7,7,655.058,0
10.9514,9,13,721.13,0
11.1194,3,10,676.971,0
11.1597,8,7,673.971,0
11.1905,7,17,653.683,0
11.1936,7,22,702.297,0
11.3699,6,18,656.821,0
11.5766,8,22,615.742,0
11.7265,5,24,661.033,0
12.1669,8,6,657.307,0
12.2963,7,8,704.151,0
12.4235,7,21,698.986,0
12.4329,9,7,663.544,0
12.5174,7,12,685.909,0
12.5411,4,10,706.02,0
12.5706,7,15,681.706,0
12.6883,5,14,667.221,0
12.8848,6,16,717.657,0
12.9426,8,15,601.315,0
13.0518,5,10,731.773,0
13.126,9,11,704.823,0
13.2334,10,11,622.104,0
13.4052,9,6,706.62,0
13.41,7,18,700.489,0
13.458,8,21,634.87,0
13.4745,8,12,606.65,0
13.5089,6,24,696.376,0
13.8158,9,12,625.068,0
13.8486,10,12,608.346,0
14.0315,9,19,732.886,0
14.0642,7,23,605.642,0
14.1766,4,9,668.773,0
14.1771,11,11,665.817,0
14.2711,6,20,632.23,0
14.3595,9,21,667.303,0
14.5848,6,14,714.39,0
14.9049,9,22,644.144,0
15.0692,9,15,642.518,0
15.1284,8,23,649.638,0
15.1772,7,24,617.918,0
15.276,7,20,657.788,0
15.5304,6,10,641.007,0
15.5917,10,13,729.325,0
15.6301,9,5,688.935,0
15.6315,10,7,717.315,0
15.8088,10,21,616.146,0
15.8389,7,10,726.392,0
15.8525,10,15,685.285,0
15.9304,7,14,654.326,0
15.9999,11,12,665.41,0
16.0177,10,5,644.316,0
16.0838,7,16,696.111,0
16.1392,8,16,723.994,0
