round,comm_bytes,avg_latency_ms,energy_j
0,880000000,667.5651351351349,82.05164999999998
1,1800000000,667.2846119402988,109.94203999999999
2,2316000000,667.1007586206896,95.15792000000002
3,2896000000,664.5073559322033,96.56875000000002
4,3340000000,670.4777037037037,92.18320000000001
5,5196000000,664.9315492957743,112.94079999999997
6,5844000000,669.8184126984127,105.33870000000002
7,6236000000,665.3569838709678,99.8372
8,6444000000,658.0312241379312,97.74919999999999
9,7772000000,665.1685555555554,101.45400000000004
10,7716000000,669.1236785714285,90.39059999999998
11,8820000000,667.7710847457628,100.31290000000003
12,9460000000,670.5119166666666,95.29079999999999
13,10772000000,661.624580645161,101.21099999999998
14,12048000000,661.4984153846152,106.09609999999999
15,11244000000,664.9639137931033,96.58239999999998
16,13556000000,663.2843384615384,104.65980000000002
17,18664000000,666.7885421686748,137.76649999999998
18,12696000000,668.7961509433961,87.16649999999997
19,16972000000,666.6601739130434,111.45060000000001
20,16072000000,666.4731166666664,98.38250000000001
21,17292000000,661.3352741935486,104.46490000000006
22,17348000000,670.163183333333,95.43509999999996
23,16552000000,664.0146727272729,91.53980000000004
24,17820000000,660.8750175438597,94.68999999999991
25,17188000000,661.8842962962962,86.50460000000002
26,17240000000,666.704019607843,82.0466
27,21996000000,667.2699843749999,106.64429999999996
28,16904000000,659.7909375000002,78.18530000000008
29,22504000000,671.0371803278688,103.84820000000002
30,22588000000,664.4351333333335,94.80499999999996
31,19452000000,669.3313400000001,80.59599999999999
32,21296000000,664.8067592592593,88.40999999999995
33,29156000000,662.3678529411767,112.72800000000007
34,25936000000,666.300096774194,100.00099999999996
35,25956000000,666.467016666667,100.09400000000005
36,27460000000,667.7122166666668,100.14699999999993
37,23068000000,671.99874,79.03700000000003
38,28856000000,667.11595,100.11599999999999
39,28044000000,674.3209830508475,98.94800000000009
40,28828000000,662.8450172413793,91.59899999999996
41,27780000000,657.4876727272729,89.44199999999992
42,33104000000,661.1089846153845,109.39700000000008
43,36772000000,669.8685652173913,111.78500000000003
44,33632000000,666.1151935483867,99.99999999999994
45,29116000000,671.3633846153848,85.64799999999994
46,40272000000,668.5820416666668,121.62199999999999
47,34804000000,669.61965,98.58900000000003
48,45572000000,655.4289610389609,123.40799999999999
49,33184000000,663.588272727273,94.96900000000008
50,5848000000,682.6623,9.929000000000002
